PDB,VINA,GlideSP,GlideXP,DSX,RFScore,MMGbsa,HPS,HMS,HSS,XAvg ,Experimental
1ik4,-4.88529,-7.42,-8.73,-71.297,-7.50036674218,-23.79196917,-6.852493237,-7.349851617,-6.783415684,-6.990648342,-10.23729332
2ca8,-5.69893,-7.58,-7.85,-106.314,-8.95506184341,-69.39479156,-7.211696511,-7.612346317,-7.294589575,-7.377482638,-6.43802792
1str,-6.99784,-11.62,-12.68,-147.168,-9.64342632954,-121.7829639,-9.17349901,-9.463624732,-8.67614063,-9.104421458,-6.589998536
1sts,-7.84696,-11.71,-11.37,-183.896,-9.69133505868,-121.9867359,-9.878090049,-10.40307945,-9.477440243,-9.919536581,-6.907755279
1qhc,-8.74689,-11.61,-13.3,-191.533,-8.64267689385,-83.67728972,-9.187314521,-9.284023095,-8.897188799,-9.118236968,-10.45834149
1f9g,-4.57793,-4.31,-5.92,-26.399,-5.52896240878,-34.91867494,-6.175533219,-6.424212409,-6.009747093,-6.203164241,-1.768385351
1w4o,-6.59618,-10.37,-13.93,-107.969,-5.55368812123,-73.04923718,-7.584715296,-8.040627145,-7.584715296,-7.736685912,-7.211696511
1v2r,-7.14249,-9.81,-10.89,-131.651,-9.77795430008,-78.1501208,-8.717587162,-8.330752866,-8.759033694,-8.607063078,-4.904506248
1vyf,-6.04276,-6.57,-10.09,-114.357,-9.61884034903,-113.2222437,-8.67614063,-9.132052479,-8.082073676,-8.620878588,-11.121486
1vyg,-6.91459,-10.7,-12.74,-140.744,-9.80043692186,-122.2931857,-9.270207584,-9.615595348,-8.67614063,-9.187314521,-11.05240845
1upf,-4.60898,-7.11,-6.21,-36.443,-7.05030241102,-36.58596572,-6.120271177,-6.382765878,-5.995931582,-6.161717709,-6.355134857
1caq,-10.29883,-7.16,-6.8,-200.977,-10.2511387676,-68.54547725,-11.121486,-11.37016519,-11.17674804,-11.21819457,-10.66557415
1o36,-0.68022,-8.51,-10.16,-126.96,-10.209448792,-7.489628536,-8.91100431,-9.17349901,-9.007712884,-9.035343905,-8.234044293
1i9m,-5.75682,-6.04,-5.23,-82.291,-10.3448212842,-43.05119276,-7.570899786,-8.689956141,-7.405113659,-7.888656529,-11.71555295
1i9l,-6.10313,-6.41,-5.34,-83.979,-9.69130641853,-48.20838115,-7.66760836,-8.634694099,-7.460375701,-7.91628755,-11.71555295
1i9o,-6.4304,-6.05,-5.24,-85.219,-9.91377758504,-47.89311229,-7.501822233,-8.358383888,-7.322220596,-7.722870402,-11.63265989
1i9n,-6.08423,-5.74,-4.52,-80.292,-9.43073726518,-50.16495635,-7.543268765,-8.455092461,-7.405113659,-7.805763465,-11.96423214
1i9q,-6.33173,-5.88,-5.24,-86.069,-10.0778116747,-56.89902795,-7.529453254,-8.372199398,-7.363667127,-7.750501423,-11.61884438
1i9p,-5.67722,-5.2,-4.63,-78.118,-9.68849358058,-49.43948415,-7.308405085,-8.206413271,-7.280774064,-7.598530807,-11.61884438
1wm1,-7.14026,-6.64,-6.05,-82.526,-9.30485620248,-57.41661015,-7.888656529,-8.67614063,-8.344568377,-8.303121845,-8.703771652
1hnn,-8.33933,-8.2,-7.3,-73.632,-9.68776987808,-43.47761846,-8.026811634,-8.192597761,-7.474191212,-7.902472039,-8.620878588
1hi5,-4.7733,-6.45,-7.18,-70.847,-7.04835941407,-41.55128946,-6.741969152,-7.073541406,-6.548552004,-6.783415684,-5.581466265
1a94,-8.85884,-14.84,-12.4,-284.139,-9.31513112824,-179.7349206,-12.0333097,-13.11091952,-11.93660112,-12.36488195,-10.84517579
1ikt,-7.35595,-8.29,-7.77,-151.875,-9.66677408527,-124.7897771,-9.366916158,-9.781381475,-8.689956141,-9.284023095,-4.69727359
1c70,-11.95572,-13.64,-12.04,-248.114,-12.4006504028,-146.6413019,-12.62737665,-13.64972443,-12.65500767,-12.97276441,-14.22997587
2mas,-9.6755,-7.46,-7.15,-97.357,-8.97122706853,-49.80854883,-8.524170014,-9.132052479,-8.468907972,-8.703771652,-10.38926394
2h4n,-4.9816,-5.27,-3.93,-46.581,-10.452635226,-52.2476604,-6.769600173,-7.225512022,-6.824862216,-6.9353863,-12.01949419
1oe8,-5.49231,-8.52,-9.43,-103.435,-9.12094717863,-66.64193063,-6.976832832,-7.377482638,-7.073541406,-7.142618958,-7.626161828
1mq5,-9.77615,-7.15,-8.07,-171.826,-9.48762595818,-89.42308687,-9.864274538,-10.37544843,-10.29255537,-10.18203128,-12.4339595
1m5w,-5.15874,-6.88,-7.77,-53.301,-7.3482381447,-40.69856224,-6.783415684,-7.059725895,-6.9353863,-6.92157079,-5.899223008
1wvj,-9.84232,-8.95,-8.91,-111.147,-9.41551671246,-96.18603078,-8.869557778,-8.938635331,-8.66232512,-8.814295736,-9.297838606
1gah,-9.14877,-9.91,-18.66,-191.637,-8.19517598733,-144.9495461,-9.90572107,-10.61031211,-9.629410859,-10.04387618,-16.57861267
1t32,-11.13533,-11.37,-9.22,-173.958,-10.3411599765,-82.39401175,-11.32871866,-12.93131788,-11.09385498,-11.78463051,-10.25110883
1ui0,-5.16625,-8.35,-8.78,-57.519,-6.61272897528,-38.14219625,-6.520920983,-6.769600173,-6.493289962,-6.589998536,-9.753750454
1t31,-10.00975,-11.51,-12.9,-158.864,-10.3633902076,-90.24727038,-10.41689496,-12.32343542,-10.52741905,-11.09385498,-11.93660112
1tng,-3.91466,-6.79,-5.27,-68.681,-5.64093350753,-28.76718415,-6.617629557,-6.631445068,-6.990648342,-6.741969152,-4.047944594
1tnl,-4.29886,-6.05,-5.36,-73.137,-6.32209953476,-31.5516091,-6.797231195,-7.073541406,-7.18406549,-7.018279363,-2.597315985
1tnk,-3.83896,-6.01,-5.85,-72.258,-6.34298615257,-16.31587006,-6.68670711,-6.589998536,-7.032094874,-6.769600173,-2.058511073
1igj,-9.64407,-7.76,-8.78,-140.235,-8.83954624325,-106.3141292,-9.947167602,-11.19056355,-9.477440243,-10.2096623,-13.81551056
1c87,-7.17452,-10.68,-16.28,-100.165,-7.38016315739,-77.31723999,-7.764316934,-8.192597761,-7.460375701,-7.805763465,-5.802514434
1gu1,-7.56662,-9.57,-9.64,-80.711,-5.56260163622,-62.65288768,-7.488006722,-8.289306335,-7.584715296,-7.791947955,-6.244610772
1utn,-3.99863,-7.14,-5.78,-64.895,-5.91524612744,-10.10716245,-6.700522621,-6.68670711,-6.976832832,-6.783415684,-4.821613185
1gi8,-7.53127,-10.52,-10.51,-99.366,-9.15046854278,-37.7492316,-8.068258166,-8.206413271,-8.41364593,-8.220228782,-6.976832832
2cht,-8.25254,-9.32,-8.58,-98.074,-6.62032072205,-84.74747817,-7.999180613,-8.42746144,-7.874841018,-8.095889187,-7.626161828
2f35,-7.6527,-8.04,-6.99,-110.125,-8.99872355089,-74.15947783,-7.957734081,-9.062974926,-7.93010306,-8.316937356,-7.460375701
1utl,-3.85647,-5.9,-5.21,-63.674,-6.5941993059,-16.95659994,-6.507105473,-6.368950367,-6.811046705,-6.562367515,-3.412431108
1a7x,-12.49152,-13.68,-14.38,-230.358,-11.6064893303,-176.3150018,-12.1714648,-13.44249177,-11.75699948,-12.46159052,-13.40104524
1utm,-4.14114,-7.21,-5.09,-63.855,-6.28278327008,-13.7284718,-6.520920983,-6.589998536,-6.700522621,-6.603814047,-4.158468678
1fm9,-12.95665,-15.5,-13.23,-223.28,-10.5718266355,-144.8628823,-13.76024852,-14.49247058,-12.94513339,-13.73261749,-12.4339595
5abp,-7.15423,-7.32,-9.18,-64.124,-6.60671870071,-75.78584341,-7.17024998,-7.722870402,-7.142618958,-7.349851617,-9.173499011
1b8n,-9.70761,-10.24,-11.32,-117.787,-10.0818142255,-94.44514177,-8.455092461,-9.021528394,-8.303121845,-8.593247567,-14.53391711
1qan,-9.03703,-10.5,-7.54,-170.768,-8.89235349125,-100.030171,-9.076790437,-9.270207584,-8.952450842,-9.104421458,-6.18934873
1qft,-4.12009,-7.12,-6.72,-58.342,-7.48081110192,-36.96129929,-6.534736494,-6.479474452,-6.286057304,-6.43802792,-12.11620276
1o2h,-8.66576,-8.62,-9.57,-123.646,-7.23046836728,-18.95071252,-8.841926757,-8.91100431,-9.145867989,-8.966266352,-9.90572107
1b8y,-8.57463,-7.72,-3.12,-171.869,-9.86203135999,-70.7588359,-9.781381475,-10.00242964,-9.629410859,-9.809012496,-10.84517579
1sqt,-7.82314,-8.38,-7.67,-120.111,-9.27600319107,-66.48627453,-8.261675314,-7.985365103,-8.192597761,-8.151151229,-8.565616546
2fw6,-5.65125,-8.47,-9.62,-83.914,-5.28354275256,-53.78886957,-7.073541406,-7.474191212,-7.087356916,-7.211696511,-4.034129083
1ws5,-4.93889,-5.98,-6.96,-65.861,-6.21139679656,-55.60939772,-6.424212409,-6.700522621,-6.272241793,-6.465658941,-4.186099699
1eld,-8.56542,-8.12,-8.33,-150.171,-9.75051408201,-74.84620885,-9.062974926,-10.27873986,-9.007712884,-9.449809222,-9.256392074
1ele,-8.28229,-7.89,-7.22,-146.506,-9.54749377281,-79.4626582,-8.855742268,-10.15440026,-8.92481982,-9.311654116,-9.463624732
1elc,-6.29892,-5.67,-4.86,-142.417,-10.8948614297,-38.67116352,-8.703771652,-8.689956141,-9.104421458,-8.828111247,-9.201130032
5yas,-5.34225,-7.09,-7.87,-45.789,-5.73607222309,-42.25679019,-6.451843431,-6.741969152,-6.341319346,-6.507105473,-4.503856442
1ws4,-4.90354,-5.83,-7.58,-68.134,-5.9572862688,-55.00337522,-6.396581388,-6.6728916,-6.244610772,-6.43802792,-4.144653167
2dw7,-4.39668,-5.48,-5.23,-50.575,-5.84403643968,49.99684654,-6.534736494,-7.045910385,-6.451843431,-6.6728916,-6.493289962
1br6,-7.73005,-8.69,-6.06,-103.597,-8.95679473606,-81.98893224,-8.455092461,-9.325469627,-8.344568377,-8.703771652,-4.4485944
1tx7,-5.91928,-9.5,-8.28,-83.391,-6.72994663869,-47.29561416,-7.363667127,-7.529453254,-7.446560191,-7.446560191,-6.355134857
1sqo,-7.46956,-8.31,-7.04,-119.186,-9.95182101596,-27.8707827,-8.247859803,-8.192597761,-8.551801035,-8.330752866,-10.30637088
1elr,-5.42584,-10.36,-15.51,-125.799,-8.26534836451,-100.5969132,-7.874841018,-7.985365103,-7.778132444,-7.874841018,-6.852493237
2fpz,-6.79475,-5.93,-4.1,-57.25,-6.79548859812,12.63980124,-7.059725895,-7.114987937,-7.322220596,-7.17024998,-5.470942181
1n3i,-9.45035,-11.58,-13.18,-117.24,-9.65015822175,-106.3094669,-8.289306335,-8.607063078,-7.957734081,-8.289306335,-12.28198889
1hmr,-5.41592,-6.73,-10.07,-112.796,-9.88935164108,-105.6682395,-8.496538993,-8.91100431,-8.275490824,-8.565616546,-9.049159416
1hms,-5.72722,-6.71,-10.21,-118.634,-9.85516314761,-102.894303,-8.800480225,-8.952450842,-8.330752866,-8.689956141,-8.800480225
1hmt,-5.7128,-6.58,-10.5,-117.999,-9.91652914613,-106.9502312,-8.855742268,-9.353100648,-8.247859803,-8.814295736,-7.999180613
1g1d,-6.56698,-6.54,-5.65,-87.242,-9.80699934601,-60.26949472,-7.93010306,-8.772849204,-7.722870402,-8.137335719,-13.04184197
1fjs,-8.84758,-9.77,-10.47,-166.379,-11.4620810208,-96.92139455,-9.546517796,-9.698488412,-9.049159415,-9.435993711,-13.76024852
1ppc,-8.59411,-9.97,-11.68,-141.644,-10.8381493787,-90.5942398,-9.325469627,-10.77609824,-9.228761053,-9.781381475,-8.510354504
1ce5,-5.5069,-8.93,-8.98,-69.773,-6.33395429743,-37.81755756,-7.059725895,-7.045910385,-7.336036106,-7.142618958,-6.548552005
1v1j,-8.02237,-9.6,-9.05,-86.136,-5.54491910606,-62.41383416,-7.529453254,-8.16496674,-7.598530807,-7.764316934,-6.659076089
1o3d,-9.03771,-9.27,-8.43,-119.013,-8.94610612058,-9.92782681,-8.814295736,-8.993897373,-9.17349901,-8.993897373,-9.850459028
1l83,-5.41438,-5.77,-5.08,-44.991,-5.23720082226,-39.66259734,-7.266958553,-7.225512022,-6.852493237,-7.114987937,-4.69727359
1tsl,-7.70701,-4.77,-3.2,-78.218,-9.0682494248,-53.78988212,-7.91628755,-10.15440026,-8.192597761,-8.759033694,-8.496538993
1o3j,-7.33129,-7.01,-9.22,-87.025,-7.5138393548,-32.52159286,-7.943918571,-8.565616546,-8.17878225,-8.234044293,-9.353100648
2byr,-10.21383,-8.53,-9.84,-182.203,-9.77047590573,-92.28196517,-10.96951538,-11.34253417,-10.44452598,-10.91425334,-11.81226153
1okl,-5.53612,-5.53,-4.3,-68.457,-9.11905991217,-51.37121767,-7.570899786,-8.275490824,-7.598530807,-7.819578976,-8.330752867
2c97,-6.22108,-10.48,-13.37,-100.429,-6.96226531088,-73.67378746,-7.66760836,-8.386014909,-7.68142387,-7.91628755,-8.482723483
2c94,-8.60473,-11.24,-14.6,-166.273,-8.25992534899,-115.4965168,-9.339285137,-9.65704188,-9.1596835,-9.394547179,-9.422178201
2c92,-8.31068,-11.82,-18.26,-173.359,-8.05510395773,-117.0873521,-9.284023095,-9.505071264,-9.201130032,-9.325469627,-7.847209997
1fcy,-16.40335,-16.6,-19.56,-178.379,-12.0266792816,-159.1945089,-13.71880198,-14.31286894,-11.95041663,-13.31815218,-11.770815
1f5l,-7.88788,-7.09,-6.74,-71.847,-6.13659513712,-57.84102461,-7.322220596,-8.068258166,-7.43274468,-7.612346317,-7.294589575
1yid,-6.81803,-7.75,-12.69,-97.489,-7.6695185117,-54.88665874,-8.109704698,-8.689956141,-7.971549592,-8.261675314,-6.907755279
1o30,-6.91986,-7.77,-9.48,-116.94,-9.86398384587,-17.11483915,-8.689956141,-8.91100431,-8.786664715,-8.800480225,-9.353100648
1o33,-6.87336,-7.46,-8.38,-87.608,-7.12795037995,-33.71219342,-7.791947955,-7.91628755,-7.971549592,-7.888656529,-7.93010306
1m2x,-3.31803,-3.98,-3.88,-61.576,-6.3229757155,-12.34022996,-6.645260578,-6.659076089,-6.949201811,-6.741969152,-5.733436882
1owh,-6.99614,-10.26,-9.53,-121.512,-9.16499929714,-57.36588106,-8.482723483,-8.344568377,-8.828111247,-8.551801035,-10.22347781
1i5r,-13.15156,-19.01,-22.23,-269.288,-10.0865978984,-201.5041676,-14.05037424,-14.58917915,-12.86224033,-13.82932607,-11.770815
1owe,-7.69157,-9.72,-10.97,-109.825,-8.37602711092,-57.73660513,-8.372199398,-8.303121845,-8.966266352,-8.551801035,-8.565616546
1o38,-8.03762,-9.5,-11.5,-119.39,-9.23812433892,-15.92490566,-8.66232512,-8.745218183,-8.952450842,-8.786664715,-9.422178201
1m2p,-10.37048,-8.53,-8.52,-80.907,-8.49357282833,-69.59940565,-9.007712884,-9.201130032,-8.247859803,-8.814295736,-8.441276951
1m2r,-9.14008,-8.1,-6.06,-86.888,-8.81865275001,-72.61583435,-8.841926757,-9.17349901,-8.040627145,-8.67614063,-8.92481982
1fj4,-7.53628,-7.55,-6.12,-77.512,-7.73390392915,-83.71804796,-7.985365103,-7.957734081,-8.634694099,-8.192597761,-6.341319346
1njc,-7.29995,-8.99,-9.2,-89.199,-7.389651394,-59.41955785,-7.861025507,-8.551801035,-7.957734081,-8.123520208,-7.66760836
6tim,-4.49443,-6.12,-5.58,-61.159,-5.75644890012,-40.11780606,-6.659076089,-7.032094874,-6.520920983,-6.741969152,-4.434778889
1pot,-5.45136,-10.82,-16.05,-82.115,-7.86946336345,-88.72961357,-7.543268765,-7.722870402,-7.045910385,-7.43274468,-7.584715296
1grp,-2.85673,-8.19,-9.06,-34.754,-6.12294642872,8.803600579,-6.520920983,-7.045910385,-6.507105473,-6.700522621,-5.139369928
1njd,-8.17569,-10.05,-11.78,-98.305,-6.98099966371,-73.10507903,-7.750501423,-8.261675314,-7.778132444,-7.93010306,-7.695239381
1ceb,-5.34984,-8.54,-9.61,-70.102,-5.54133138489,-57.03531353,-7.391298149,-7.778132444,-6.963017321,-7.377482638,-8.289306335
1cea,-3.94249,-6.93,-11.88,-54.604,-5.51528098976,-50.33728692,-6.68670711,-6.755784663,-6.203164241,-6.548552004,-6.852493237
1utj,-3.57926,-7.24,-5.57,-64.185,-6.13279254689,-7.020144014,-6.520920983,-6.520920983,-6.741969152,-6.589998536,-5.305156054
4er1,-10.62812,-11.84,-10.16,-239.02,-11.5154719693,-119.1296817,-12.9589489,-14.38194649,-12.61356114,-13.31815218,-9.145867989
2f7p,-7.29159,-5.01,-6.22,-92.642,-8.25649438357,4.274711917,-7.612346317,-7.888656529,-7.598530807,-7.695239381,-9.118236968
1erb,-10.53144,-9.8,-11.76,-149.634,-9.49600836571,-139.693592,-11.42542723,-10.52741905,-11.01096191,-10.98333089,-11.19056355
1jfh,-5.1085,-4.85,-8.89,-92.212,-8.29461167923,-61.34728488,-7.045910385,-7.336036106,-6.714338131,-7.032094874,-2.832179664
1izh,-10.22763,-14.66,-14.77,-231.945,-11.3660648234,-156.5581307,-12.11620276,-13.6082779,-12.19909582,-12.64119216,-10.63794313
1r6n,-8.56071,-6.73,-5.87,-118.541,-9.64762670596,-78.843198,-8.938635331,-11.05240845,-8.800480225,-9.601779838,-10.22347781
2bza,-3.69581,-6.88,-5.38,-64.482,-5.65191054469,-3.898891009,-6.617629557,-6.589998536,-6.852493237,-6.68670711,-3.868342956
1ucn,-7.57065,-9.32,-9.68,-113.09,-7.16810487841,-61.92147634,-7.888656529,-8.386014909,-7.764316934,-8.012996124,-7.211696511
1xd0,-9.19824,-8.53,-16.37,-203.631,-7.5867759692,-101.4053387,-10.30637088,-10.7346517,-9.90572107,-10.32018639,-9.836643517
2f7o,-6.83294,-7.06,-6.56,-68.943,-7.85041964704,3.095284615,-7.197881001,-7.736685912,-7.197881001,-7.377482638,-10.27873986
1ghz,-7.0619,-8.65,-8.75,-85.864,-7.0908556085,-26.65589399,-7.709054891,-7.750501423,-7.764316934,-7.736685912,-6.631445068
1hvr,-14.74934,-14.07,-13.2,-268.739,-11.6417190271,-146.4630498,-13.45630728,-14.09182077,-12.68263869,-13.41486075,-13.13855054
1mrx,-11.49471,-10.26,-9.46,-189.431,-11.5826353914,-134.3713752,-11.43924274,-12.62737665,-12.04712521,-12.0333097,-10.03006067
2iuz,-9.01234,-9.77,-9.79,-113.692,-8.16181503943,-103.3283079,-8.026811634,-8.137335719,-7.778132444,-7.985365103,-7.66760836
1mrw,-11.21381,-9.93,-10.07,-194.847,-11.6971774868,-136.5555879,-11.27345662,-12.61356114,-12.13001827,-12.00567867,-13.40104524
1mrn,-8.78928,-9.08,-13.75,-184.154,-8.23366966195,-87.52042739,-10.0715072,-9.739934943,-9.698488412,-9.836643517,-6.244610772
2bqv,-11.16263,-11.73,-10.87,-230.433,-10.2369976327,-146.3961471,-12.25435786,-13.00039544,-11.95041663,-12.40632848,-11.121486
1hvi,-11.07096,-15.16,-14.57,-273.716,-10.9461650976,-163.5938139,-12.72408522,-14.27142241,-12.30961991,-13.09710401,-15.08653753
1hvh,-10.91761,-11.29,-9.08,-198.973,-11.430246146,-138.2307393,-11.48068927,-13.24907463,-10.70702068,-11.81226153,-10.9971464
1hvk,-10.75835,-14.75,-14.12,-265.837,-10.9413450194,-156.0422982,-12.66882318,-14.21616036,-12.42014399,-13.09710401,-15.14179957
1hvj,-11.14057,-14.66,-14.24,-269.905,-11.0722048337,-166.5586383,-12.57211461,-14.03655873,-12.22672684,-12.94513339,-15.74968204
1hvl,-10.20641,-13.67,-13.16,-252.139,-11.1817927748,-163.0601105,-12.01949419,-13.62209341,-11.74318397,-12.46159052,-13.74643301
1oar,-10.63474,-9.6,-10.67,-98.768,-8.09516276224,-74.07542824,-9.781381475,-9.919536581,-8.634694099,-9.449809222,-10.22347781
1hvs,-10.66043,-14.94,-14.97,-269.987,-10.9802548699,-154.7088848,-12.39251297,-13.6082779,-12.35106644,-12.77934727,-14.22997587
1pbk,-10.42879,-10.68,-10.76,-170.135,-8.43156631363,-120.7820061,-10.22347781,-13.47012279,-10.18203128,-11.28727213,-12.50303706
2gst,-8.93766,-13.6,-18.49,-165.521,-9.16049400988,-130.5704225,-10.25110883,-11.39779621,-9.864274538,-10.49978802,-8.386014909
2gsu,-5.88644,-4.49,-5.98,-92.652,-7.40016938723,-22.17666699,-7.943918571,-8.441276951,-7.861025507,-8.082073676,-4.95976829
220l,-5.26846,-5.72,-5.03,-45.293,-5.17083166874,-38.20106715,-7.363667127,-7.17024998,-6.797231195,-7.101172427,-4.69727359
1owd,-8.38585,-9.61,-10.8,-130.17,-9.74594860485,-54.45353763,-8.91100431,-8.966266352,-9.422178201,-9.104421458,-11.32871866
1qbn,-8.23784,-11.02,-13.04,-129.973,-9.33795299972,-70.36175799,-9.062974926,-9.643226369,-9.035343905,-9.242576563,-8.082073676
1qbo,-9.13511,-11.23,-11.48,-143.6,-10.0510326778,-81.29409303,-9.339285137,-9.878090049,-9.615595348,-9.615595348,-10.69320517
1vjc,-5.95831,-4.68,-6.5,-122.276,-6.67125350504,-40.19864314,-7.791947955,-8.082073676,-7.543268765,-7.805763465,-4.94595278
2iko,-9.05441,-9.05,-8.8,-117.658,-9.90841372403,-70.33986775,-9.242576563,-10.32018639,-9.007712884,-9.518886774,-7.529453254
1vja,-7.30569,-11.13,-14.31,-169.201,-10.608876305,-79.30594481,-9.17349901,-8.869557778,-9.118236968,-9.049159415,-10.63794313
1vjd,-7.98675,-10.72,-12.63,-157.131,-8.13669878818,-66.40898198,-8.607063078,-8.980081863,-8.386014909,-8.66232512,-4.890690738
2bq7,-8.90989,-6.42,-5.4,-155.079,-9.9723975304,-45.68626328,-9.145867989,-9.449809222,-9.40836269,-9.339285137,-9.739934943
1sc8,-7.32701,-10.68,-11.71,-160.685,-10.9255906676,-70.57502601,-8.938635331,-8.869557778,-8.841926757,-8.883373289,-10.27873986
1usn,-6.11486,-3.56,-4.05,-82.05,-9.4842278031,-26.65015839,-7.529453254,-7.750501423,-7.266958553,-7.515637744,-10.69320517
1h2t,-9.47461,-13.13,-15.71,-189.941,-8.25607442893,-106.3855701,-9.615595348,-9.878090049,-9.256392074,-9.587964327,-10.90043783
1qbr,-13.77194,-16.19,-14.26,-276.494,-11.3652989826,-167.8510327,-13.30433667,-15.10035304,-12.65500767,-13.69117096,-14.60299466
1qbt,-14.81036,-17.98,-15.63,-306.904,-10.5557607449,-174.649491,-14.31286894,-15.80494408,-13.95366566,-14.68588772,-14.67207221
1qbu,-12.03413,-12.07,-12.33,-218.215,-11.3238800052,-140.9559428,-11.79844602,-13.40104524,-11.35634968,-12.18528031,-14.14708281
1g2o,-9.83858,-10.94,-13.39,-118.327,-9.84603832229,-87.10972824,-8.275490824,-8.745218183,-8.082073676,-8.372199398,-14.57536364
1lpg,-8.88969,-10.84,-11.86,-181.185,-10.4255517783,-76.71340699,-10.0715072,-10.2096623,-9.90572107,-10.05769169,-9.795196986
1gz3,-6.74032,-8.4,-9.12,-138.365,-7.96381264786,-44.44845607,-7.709054891,-7.819578976,-7.391298149,-7.639977339,-5.111738906
1y2f,-5.21296,-4.57,-3.95,-64.77,-7.2351962342,-61.91370891,-7.377482638,-8.358383888,-7.073541406,-7.598530807,-6.797231195
1qin,-7.76815,-10.08,-12.21,-125.3,-8.23818802468,-83.78469486,-9.809012496,-10.23729332,-9.325469627,-9.795196986,-11.05240845
1lpk,-9.3229,-11.14,-12.25,-164.333,-10.4319783152,-64.52097057,-10.25110883,-10.61031211,-9.781381475,-10.22347781,-10.43071047
1meu,-11.65908,-12.79,-14.35,-213.806,-12.7552784725,-129.9626757,-11.74318397,-13.6082779,-11.121486,-12.15764929,-8.42746144
1li2,-5.46502,-6.68,-5.85,-47.481,-6.09287695986,-44.18426648,-7.225512022,-7.336036106,-6.893939768,-7.156434469,-5.581466265
1kdk,-12.35003,-11.47,-12.35,-143.404,-10.2102702028,-131.7380135,-10.69320517,-10.55505007,-10.11295373,-10.45834149,-12.50303706
1li6,-3.90836,-6.11,-5.38,-41.848,-5.82958610441,-39.23774444,-6.617629557,-6.700522621,-6.451843431,-6.589998536,-5.249894012
1gz9,-5.74116,-5.61,-9.01,-119.718,-7.45211941194,-80.69479613,-7.460375701,-7.957734081,-7.322220596,-7.584715296,-4.849244206
1bv9,-13.36932,-16.1,-15.84,-276.186,-11.3437076422,-163.6034717,-13.29052116,-14.68588772,-12.71026971,-13.55301586,-12.37869746
1lpz,-9.95471,-8.83,-9.48,-157.096,-9.9645561013,-71.30658283,-9.960983112,-10.48597251,-10.04387618,-10.16821577,-10.49978802
