ID,2.5_contacts,4.0_contacts,H_B_ligand,H_B_receptor,backbone_alpha,backbone_beta,backbone_other,hydrophobic,pi-cation,pi-pi,pi-t,rotable_bonds,salt_bridge,sidechain_alpha,sidechain_beta,sidechain_other,Exp_energy
1bxo,13,199,4,6,0,4,44,26,0,0,0,10,0,7,56,101,-13.82
2azr,11,121,0,8,12,1,14,17,0,0,0,4,3,43,10,52,-5.03
1j17,0,140,0,0,0,41,26,44,0,1,1,4,0,0,32,41,-7.21
1zc9,9,114,4,4,6,0,11,11,0,0,0,7,1,12,5,89,-4.45
1nvq,6,131,4,1,0,17,20,28,0,0,0,5,1,0,68,32,-11.4
1k4g,8,132,5,3,5,11,18,21,0,0,0,5,0,28,42,36,-8.08
2j77,10,140,3,3,0,0,0,11,1,0,0,5,3,0,75,75,-6.76
1avn,3,67,2,1,0,0,9,1,0,0,1,3,0,0,32,29,-5.39
1h23,7,136,2,4,4,10,35,42,3,2,0,15,0,34,2,58,-11.54
6std,3,106,0,1,4,0,0,43,0,0,1,4,0,25,27,53,-11.94
2bz6,12,184,5,2,0,15,67,34,0,0,0,10,1,0,9,105,-9.8
7cpa,14,218,0,7,0,12,0,34,0,0,0,15,9,3,39,178,-19.29
1vzq,9,158,6,1,0,11,69,30,0,0,0,7,1,0,3,84,-10.28
2d0k,11,161,2,4,4,25,1,25,0,0,0,10,3,74,38,30,-6.94
1a08,13,169,1,10,0,15,15,23,1,0,0,19,3,51,66,35,-7.76
1fkn,14,248,5,7,0,17,64,24,0,0,0,30,2,0,93,88,-12.16
1pbq,6,84,0,5,1,8,0,20,0,2,0,2,1,8,41,32,-8.66
1fh7,12,194,3,4,0,0,0,14,2,0,0,7,2,0,48,158,-7.24
2gss,2,74,0,2,0,0,1,18,0,1,0,6,1,28,23,24,-6.82
1fh9,15,218,6,4,0,0,1,14,0,0,0,8,2,0,65,167,-8.88
1fh8,13,152,4,3,0,0,0,10,2,0,0,6,2,0,30,135,-9.52
1l2s,7,104,0,4,6,31,9,14,0,0,1,4,0,42,10,13,-6.34
1lol,12,147,1,7,0,18,29,8,0,0,0,6,1,0,27,85,-8.83
1f4e,7,71,0,3,3,0,8,16,0,0,0,3,1,14,2,51,-4.09
1f4g,8,158,0,7,5,10,20,38,0,0,1,12,3,31,34,66,-8.95
1f4f,6,132,0,5,5,0,9,32,0,0,1,9,4,49,0,75,-6.38
2ctc,9,99,1,2,0,0,0,18,0,0,0,4,5,5,32,71,-5.37
1syh,13,182,3,7,9,26,4,25,1,0,0,4,2,54,76,26,-8.72
1m0q,9,134,0,8,6,0,8,16,0,1,0,7,2,12,23,94,-5.37
1nhu,4,65,0,2,2,0,15,20,0,0,0,8,0,30,0,22,-7.82
1m0n,12,170,0,9,15,0,13,16,1,0,1,7,2,18,22,114,-3.07
1trd,11,136,1,10,0,24,25,2,0,0,0,4,2,0,41,57,-7.46
2c02,7,154,1,7,0,8,0,17,0,1,0,9,5,37,54,62,-5.58
1n2v,7,73,2,0,0,8,6,17,0,0,0,3,0,11,29,26,-5.64
