ID,Lig_Strain_Energy,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Exp_energy
6std,2.489652064,-6.049954615,1.046404361,-0.219118803,-66.64358928,-1.698232729,3.943165963,-57.94462703,-11.94
2bz6,8.424259111,-99.34851001,3.94354362,-10.58485599,-31.1851839,-0.15984631,110.4035137,-49.08734375,-9.8
7cpa,12.01710846,-68.04698497,5.568266859,-14.38739951,-42.28348337,-0.941383789,86.75276143,-45.42216188,-19.29
1vzq,8.775321148,-189.4728085,7.791451971,-8.578463489,-36.95570392,-0.128433846,196.2737048,-58.20574663,-10.28
2d0k,4.532551403,-47.05150512,1.995245332,-15.95045744,-23.24476386,-1.382221658,45.23461779,-49.89988854,-6.94
1a08,4.628084251,-242.8711443,3.465263125,-13.08499028,-23.50531829,-0.506386288,223.6003322,-26.75072732,-7.76
1fkn,43.96562209,-13.17353185,1.622596851,-7.09267802,-51.46101284,0,0.658409545,-83.66287635,-12.16
1pbq,1.209340347,-21.40543625,1.082053225,-7.544318092,-28.43323747,-2.774205444,20.80512326,-31.99399651,-8.66
1fh7,6.317012093,-106.7913651,1.063703222,-4.638978281,-21.71802664,0,87.43751812,-28.68513042,-7.24
2gss,2.660543974,-15.11937495,3.266532775,-2.382922101,-32.47640573,-1.985762687,18.32600485,-31.06454255,-6.82
1fh9,9.84757395,-160.9496301,4.159363299,-5.748898826,-18.41444298,0,115.1517831,-26.62193467,-8.88
1fh8,5.886536915,-119.0533759,0.523464442,-5.145539842,-20.90711816,0,104.4991568,-27.60205339,-9.52
1l2s,5.086499422,-15.58259779,3.748713725,-2.764140622,-18.4788584,-0.703803598,14.59090583,-34.79915148,-6.34
1lol,2.972473278,2.809576647,2.640447298,-8.462202178,-14.14754668,-0.860126826,0.584280818,-35.69199763,-8.83
1f4e,8.367704569,51.12771982,6.592420716,-2.852029214,-21.42537418,-0.601176797,-35.73527094,-34.27344968,-4.09
1f4g,8.108393926,18.56046939,5.840413247,-10.05010372,-33.99878618,-0.499056452,-11.06248891,-62.54105511,-8.95
1f4f,4.398146675,82.09249067,6.29361522,-6.766162371,-28.96672177,-0.125817591,-58.74790555,-58.50237215,-6.38
2ctc,2.712093457,-0.601393719,1.39820272,-7.694045925,-21.61785443,-0.181799111,16.70723172,-20.99848203,-5.37
1syh,2.882778416,-52.41232861,1.157449279,-4.896598592,-26.92083543,-0.004071025,23.80019845,-36.03019352,-8.72
1m0q,6.725411273,-104.1361059,6.932622636,-12.69655131,-13.95728474,-0.498336147,111.5566752,-32.66474646,-5.37
1nhu,10.50347902,-100.8807797,2.871615123,-1.899925383,-47.23797554,-1.376777661,97.21239686,-35.05133784,-7.82
1m0n,2.592913807,-156.0636276,0.891281826,-13.52431102,-17.06093642,-0.14532861,163.1152546,-36.31822758,-3.07
1trd,2.116944588,-130.9683247,2.2466755,-9.866583198,-4.28366197,0,114.5115991,-17.14971535,-7.46
2c02,10.36207145,-102.8930093,6.880464612,-9.49384931,-12.56354691,-1.936275505,108.948757,-35.16014444,-5.58
1n2v,1.61503577,-34.84812823,2.312077976,-2.832787145,-20.49457091,0,34.01454315,-42.40090572,-5.64
