PDB,dsx,glide,rf_score,vina,HMScore,Experimental
1l83,-44.991,-5.77,-5.2372008223,-5.41438,-7.225512022,-4.69727359
1tsl,-78.218,-4.77,-9.0682494248,-7.70701,-10.15440026,-8.496538993
1o3j,-87.025,-7.01,-7.5138393548,-7.33129,-8.565616546,-9.353100648
2byr,-182.203,-8.53,-9.7704759057,-10.21383,-11.34253417,-11.81226153
1okl,-68.457,-5.53,-9.1190599122,-5.53612,-8.275490824,-8.330752867
2c97,-100.429,-10.48,-6.9622653109,-6.22108,-8.386014909,-8.482723483
2c94,-166.273,-11.24,-8.259925349,-8.60473,-9.65704188,-9.422178201
2c92,-173.359,-11.82,-8.0551039577,-8.31068,-9.505071264,-7.847209997
1fcy,-178.379,-16.6,-12.0266792816,-16.40335,-14.31286894,-11.770815
1f5l,-71.847,-7.09,-6.1365951371,-7.88788,-8.068258166,-7.294589575
1yid,-97.489,-7.75,-7.6695185117,-6.81803,-8.689956141,-6.907755279
1o30,-116.94,-7.77,-9.8639838459,-6.91986,-8.91100431,-9.353100648
1o33,-87.608,-7.46,-7.12795038,-6.87336,-7.91628755,-7.93010306
1m2x,-61.576,-3.98,-6.3229757155,-3.31803,-6.659076089,-5.733436882
1owh,-121.512,-10.26,-9.1649992971,-6.99614,-8.344568377,-10.22347781
1i5r,-269.288,-19.01,-10.0865978984,-13.15156,-14.58917915,-11.770815
1owe,-109.825,-9.72,-8.3760271109,-7.69157,-8.303121845,-8.565616546
1o38,-119.39,-9.5,-9.2381243389,-8.03762,-8.745218183,-9.422178201
1m2p,-80.907,-8.53,-8.4935728283,-10.37048,-9.201130032,-8.441276951
1m2r,-86.888,-8.1,-8.81865275,-9.14008,-9.17349901,-8.92481982
1fj4,-77.512,-7.55,-7.7339039292,-7.53628,-7.957734081,-6.341319346
1njc,-89.199,-8.99,-7.389651394,-7.29995,-8.551801035,-7.66760836
6tim,-61.159,-6.12,-5.7564489001,-4.49443,-7.032094874,-4.434778889
1pot,-82.115,-10.82,-7.8694633635,-5.45136,-7.722870402,-7.584715296
1grp,-34.754,-8.19,-6.1229464287,-2.85673,-7.045910385,-5.139369928
1njd,-98.305,-10.05,-6.9809996637,-8.17569,-8.261675314,-7.695239381
1ceb,-70.102,-8.54,-5.5413313849,-5.34984,-7.778132444,-8.289306335
1cea,-54.604,-6.93,-5.5152809898,-3.94249,-6.755784663,-6.852493237
1utj,-64.185,-7.24,-6.1327925469,-3.57926,-6.520920983,-5.305156054
4er1,-239.02,-11.84,-11.5154719693,-10.62812,-14.38194649,-9.145867989
2f7p,-92.642,-5.01,-8.2564943836,-7.29159,-7.888656529,-9.118236968
1erb,-149.634,-9.8,-9.4960083657,-10.53144,-10.52741905,-11.19056355
1jfh,-92.212,-4.85,-8.2946116792,-5.1085,-7.336036106,-2.832179664
1izh,-231.945,-14.66,-11.3660648234,-10.22763,-13.6082779,-10.63794313
1r6n,-118.541,-6.73,-9.647626706,-8.56071,-11.05240845,-10.22347781
2bza,-64.482,-6.88,-5.6519105447,-3.69581,-6.589998536,-3.868342956
1ucn,-113.09,-9.32,-7.1681048784,-7.57065,-8.386014909,-7.211696511
1xd0,-203.631,-8.53,-7.5867759692,-9.19824,-10.7346517,-9.836643517
2f7o,-68.943,-7.06,-7.850419647,-6.83294,-7.736685912,-10.27873986
1ghz,-85.864,-8.65,-7.0908556085,-7.0619,-7.750501423,-6.631445068
1hvr,-268.739,-14.07,-11.6417190271,-14.74934,-14.09182077,-13.13855054
1mrx,-189.431,-10.26,-11.5826353914,-11.49471,-12.62737665,-10.03006067
2iuz,-113.692,-9.77,-8.1618150394,-9.01234,-8.137335719,-7.66760836
1mrw,-194.847,-9.93,-11.6971774868,-11.21381,-12.61356114,-13.40104524
1mrn,-184.154,-9.08,-8.233669662,-8.78928,-9.739934943,-6.244610772
2bqv,-230.433,-11.73,-10.2369976327,-11.16263,-13.00039544,-11.121486
1hvi,-273.716,-15.16,-10.9461650976,-11.07096,-14.27142241,-15.08653753
1hvh,-198.973,-11.29,-11.430246146,-10.91761,-13.24907463,-10.9971464
1hvk,-265.837,-14.75,-10.9413450194,-10.75835,-14.21616036,-15.14179957
1hvj,-269.905,-14.66,-11.0722048337,-11.14057,-14.03655873,-15.74968204
1hvl,-252.139,-13.67,-11.1817927748,-10.20641,-13.62209341,-13.74643301
1oar,-98.768,-9.6,-8.0951627622,-10.63474,-9.919536581,-10.22347781
1hvs,-269.987,-14.94,-10.9802548699,-10.66043,-13.6082779,-14.22997587
1pbk,-170.135,-10.68,-8.4315663136,-10.42879,-13.47012279,-12.50303706
2gst,-165.521,-13.6,-9.1604940099,-8.93766,-11.39779621,-8.386014909
2gsu,-92.652,-4.49,-7.4001693872,-5.88644,-8.441276951,-4.95976829
220l,-45.293,-5.72,-5.1708316687,-5.26846,-7.17024998,-4.69727359
1owd,-130.17,-9.61,-9.7459486049,-8.38585,-8.966266352,-11.32871866
1qbn,-129.973,-11.02,-9.3379529997,-8.23784,-9.643226369,-8.082073676
1qbo,-143.6,-11.23,-10.0510326778,-9.13511,-9.878090049,-10.69320517
1vjc,-122.276,-4.68,-6.671253505,-5.95831,-8.082073676,-4.94595278
2iko,-117.658,-9.05,-9.908413724,-9.05441,-10.32018639,-7.529453254
1vja,-169.201,-11.13,-10.608876305,-7.30569,-8.869557778,-10.63794313
1vjd,-157.131,-10.72,-8.1366987882,-7.98675,-8.980081863,-4.890690738
2bq7,-155.079,-6.42,-9.9723975304,-8.90989,-9.449809222,-9.739934943
1sc8,-160.685,-10.68,-10.9255906676,-7.32701,-8.869557778,-10.27873986
1usn,-82.05,-3.56,-9.4842278031,-6.11486,-7.750501423,-10.69320517
1h2t,-189.941,-13.13,-8.2560744289,-9.47461,-9.878090049,-10.90043783
1qbr,-276.494,-16.19,-11.3652989826,-13.77194,-15.10035304,-14.60299466
1qbt,-306.904,-17.98,-10.5557607449,-14.81036,-15.80494408,-14.67207221
1qbu,-218.215,-12.07,-11.3238800052,-12.03413,-13.40104524,-14.14708281
1g2o,-118.327,-10.94,-9.8460383223,-9.83858,-8.745218183,-14.57536364
1lpg,-181.185,-10.84,-10.4255517783,-8.88969,-10.2096623,-9.795196986
1gz3,-138.365,-8.4,-7.9638126479,-6.74032,-7.819578976,-5.111738906
1y2f,-64.77,-4.57,-7.2351962342,-5.21296,-8.358383888,-6.797231195
1qin,-125.3,-10.08,-8.2381880247,-7.76815,-10.23729332,-11.05240845
1lpk,-164.333,-11.14,-10.4319783152,-9.3229,-10.61031211,-10.43071047
1meu,-213.806,-12.79,-12.7552784725,-11.65908,-13.6082779,-8.42746144
1li2,-47.481,-6.68,-6.0928769599,-5.46502,-7.336036106,-5.581466265
1kdk,-143.404,-11.47,-10.2102702028,-12.35003,-10.55505007,-12.50303706
1li6,-41.848,-6.11,-5.8295861044,-3.90836,-6.700522621,-5.249894012
1gz9,-119.718,-5.61,-7.4521194119,-5.74116,-7.957734081,-4.849244206
1bv9,-276.186,-16.1,-11.3437076422,-13.36932,-14.68588772,-12.37869746
1lpz,-157.096,-8.83,-9.9645561013,-9.95471,-10.48597251,-10.49978802
1mrs,-115.948,-8.8,-7.1284653365,-7.09175,-8.731402673,-5.470942181
1bv7,-282.36,-16.94,-11.3664406043,-14.14102,-15.00364447,-12.84842482
1epo,-201.328,-10.46,-10.9075284375,-10.51619,-11.09385498,-10.9971464
1qiw,-151.184,-10.92,-10.7133806637,-7.39508,-11.57739785,-10.69320517
2f8g,-192.532,-10.16,-12.3954675161,-9.44976,-11.23201008,-12.01949419
1os5,-126.092,-6.49,-9.2395460669,-8.6372,-10.52741905,-9.463624732
1lf2,-184.192,-10.24,-10.0169392424,-9.22227,-12.28198889,-10.38926394
1lf9,-171.161,-8.71,-8.6751757605,-9.28692,-10.37544843,-16.57861267
1vj9,-203.447,-10.89,-10.6402072592,-8.21321,-9.988614133,-10.43071047
1v2j,-67.261,-8.83,-6.2221915757,-5.37081,-7.018279363,-4.490040931
1cin,-82.928,-6.58,-11.1081199532,-6.75682,-8.220228782,-12.06094072
1cim,-77.381,-7.46,-11.0632913846,-6.54572,-8.247859803,-12.18528031
1cil,-89.069,-6.59,-10.6975708732,-5.97761,-8.344568377,-13.02802646
1zpa,-217.231,-9.52,-11.1118664894,-8.71083,-12.0333097,-11.60502887
1dif,-270.325,-15.32,-11.1497958543,-11.36882,-14.395762,-14.72733425
1y20,-66.776,-7.88,-7.1306973011,-5.06266,-7.515637744,-7.349851617
1gzc,-81.898,-5.61,-6.1976826698,-4.49544,-6.852493237,-4.821613185
1qb1,-154.754,-10.59,-10.3792821269,-8.38117,-9.822828007,-9.353100648
1n8v,-91.134,-3.13,-6.8896964051,-5.21775,-8.17878225,-8.330752867
1oss,-65.522,-7.87,-6.3528562185,-4.73324,-6.893939768,-6.617629557
1fq5,-269.13,-17.31,-10.8427133096,-14.62269,-15.77731306,-11.60502887
1j01,-105.28,-7.66,-7.3725146442,-8.11127,-8.289306335,-8.938635331
1ec9,-60.805,-6.3,-7.0937337951,-6.63466,-7.43274468,-4.282808273
1we2,-65.53,-7.15,-6.0198856645,-5.48489,-7.460375701,-6.023562603
1jmf,-82.528,-8.32,-7.0888623052,-6.53153,-8.344568377,-7.971549592
1jmg,-82.456,-9.84,-6.9364943939,-7.07532,-8.206413271,-8.386014909
1uxb,-63.715,-3.47,-5.9458101959,-3.61524,-6.147902198,-2.97033477
1uxa,-63.663,-3.61,-5.8908018986,-3.53162,-6.134086688,-3.177567428
1jmi,-92.526,-9.23,-7.0080061086,-7.86531,-8.455092461,-8.372199398
1ugx,-94.181,-6.46,-5.8616438277,-6.40271,-7.225512022,-8.16496674
1jzs,-184.389,-9.23,-7.7084387312,-7.22996,-9.449809222,-9.118236968
1t7j,-193.566,-10.09,-12.6320606487,-8.99727,-10.5964966,-12.01949419
1ofz,-40.958,-6.06,-6.5347721417,-4.95237,-7.073541406,-6.382765878
2bt9,-71.569,-6.82,-6.0039836231,-5.71067,-7.43274468,-8.551801035
1ct8,-136.362,-10.03,-8.7949202491,-8.30772,-10.472157,-9.007712884
1hih,-227.172,-11.71,-10.2058005282,-9.69495,-11.75699948,-11.121486
2arm,-78.678,-4.19,-8.1957286003,-5.85495,-7.266958553,-11.23201008
2bvd,-108.619,-6.08,-7.4756482008,-7.50464,-7.736685912,-8.289306335
1a99,-47.758,-7.39,-8.5195160951,-3.90726,-6.797231195,-7.874841018
1sgu,-210.726,-11.02,-10.6946667851,-10.49378,-12.32343542,-7.41892917
2j34,-152.826,-7.54,-11.2724296623,-9.02821,-9.021528394,-10.80372926
1msn,-219.611,-11.54,-12.0680595985,-11.80593,-12.76553176,-12.5582991
2aac,-68.644,-6.79,-6.8888396589,-6.96306,-7.66760836,-3.067043344
1h1h,-91.578,-7.64,-7.0969084297,-5.05173,-7.93010306,-7.211696511
1e4h,-40.717,-4.51,-5.7914555768,-6.04796,-8.689956141,-11.61884438
1efy,-96.913,-9.3,-9.3223309381,-8.79026,-8.593247567,-11.35634968
1g46,-82.825,-6.33,-10.4434994894,-6.16585,-8.42746144,-12.15764929
1gcz,-84.794,-7.7,-8.3776009512,-8.71325,-9.007712884,-7.087356916
1xhy,-94.941,-9.19,-8.8221454123,-7.42089,-8.386014909,-8.537985525
1c84,-97.876,-10.84,-7.3956294427,-8.33423,-9.767565964,-6.907755279
1c86,-98.916,-11.77,-7.4975968392,-7.56636,-8.607063078,-6.493289962
1d6v,-127.732,-8.89,-9.4873224401,-10.27217,-10.87280681,-8.524170014
5er2,-275.293,-13.22,-11.2065031379,-9.3346,-13.31815218,-9.076790437
1c83,-88.212,-11.37,-7.6023858584,-6.95659,-8.814295736,-6.700522621
2ans,-86.361,-7.6,-9.3019019565,-8.32041,-9.933352091,-8.17878225
1pfu,-53.987,-5.38,-7.5325732569,-3.65646,-6.562367515,-3.757818872
1eix,-113.793,-12.22,-7.7602979206,-9.83736,-9.601779838,-15.27995468
1tvo,-112.986,-10.47,-11.0316639591,-10.35428,-9.339285137,-9.463624732
1o0n,-96.756,-8.44,-5.3896164336,-6.27693,-7.639977339,-5.650543818
1o0o,-63.265,-6.64,-6.3777666822,-4.50266,-7.197881001,-7.045910385
1z3t,-92.318,-6.29,-6.9947096102,-7.61843,-8.040627145,-5.44331116
1z3v,-93.677,-6.25,-7.1246069877,-7.76082,-8.316937356,-5.678174839
1o0f,-74.932,-7.06,-6.8038831228,-5.59431,-7.653792849,-7.322220596
1ezq,-186.869,-11.77,-10.6577331844,-9.88738,-11.6464754,-12.50303706
1kmy,-67.916,-8.19,-8.0667656073,-7.78335,-9.062974926,-7.045910385
2a31,-59.168,-6.68,-7.1353645326,-5.13554,-6.755784663,-1.395366566
1h6h,-120.079,-6.39,-7.0157900571,-5.31911,-7.888656529,-7.322220596
1hi3,-68.393,-7.65,-7.3538093001,-5.10735,-7.18406549,-5.788698924
2fxv,-144.416,-9.89,-7.125875215,-9.10572,-8.869557778,-7.391298149
1rd4,-138.678,-9.98,-10.1477300658,-10.36315,-10.80372926,-10.69320517
1lee,-175.358,-10.14,-10.007605944,-8.93058,-12.11620276,-10.69320517
1j4r,-135.933,-7.49,-9.705005495,-7.32776,-10.2096623,-10.66557415
1sw2,-69.337,-8.71,-7.8908869033,-4.84936,-6.589998536,-9.974798623
1afl,-104.536,-7.08,-7.8448120848,-5.96615,-7.639977339,-8.67614063
7abp,-58.142,-8,-6.3779228639,-7.02493,-7.888656529,-8.92481982
1afk,-97.85,-7.78,-8.054086873,-6.39299,-8.137335719,-9.145867989
1nc3,-123.746,-10.71,-7.0013995857,-9.70612,-8.91100431,-6.907755279
1bzy,-139.81,-9.55,-8.6542693058,-8.44599,-9.809012496,-11.52213581
2fx6,-57.596,-7.16,-6.7393572533,-6.14189,-7.114987937,-5.111738906
1dud,-100.966,-8.79,-6.697733576,-6.68499,-8.012996124,-6.659076089
1c1r,-121.983,-10.09,-9.5345447362,-7.36249,-8.92481982,-10.54123456
1bq4,-68.079,-12.39,-7.7021157747,-8.06808,-9.132052479,-7.211696511
1bzh,-147.163,-8.08,-8.4538367303,-6.97174,-9.850459028,-9.353100648
1r1j,-133.905,-8.46,-10.0842575314,-7.70855,-10.44452598,-11.93660112
1r1h,-142.795,-9.65,-9.9144667488,-8.4879,-11.35634968,-12.32343542
1bzc,-159.814,-9.5,-7.7522055874,-8.97866,-10.52741905,-6.797231195
1af6,-97.028,-6.31,-7.414338792,-7.25445,-8.261675314,-2.514422922
3aid,-176.238,-8.19,-10.3104577256,-4.12047,-12.06094072,-9.477440243
1dl7,-110.752,-8.86,-7.6095841558,-4.70301,-7.059725895,-8.966266352
1drk,-77.241,-6.98,-6.364680913,-6.87602,-8.192597761,-9.422178201
1drj,-74.556,-7.16,-6.3754323945,-6.89798,-8.275490824,-10.22347781
2bmz,-63.464,-5.55,-5.0621908119,-4.63631,-6.700522621,-5.111738906
1bcd,-38.731,-2.96,-8.8241560194,-4.04829,-6.507105473,-12.01949419
1jak,-80.227,-7.73,-7.0526770306,-7.31319,-8.17878225,-7.695239381
1jao,-132.285,-7.63,-8.5554492512,-5.90285,-8.247859803,-8.17878225
1rdi,-33.902,-5.61,-6.1778171914,-4.53546,-6.589998536,-2.845995175
1u1w,-82.202,-10.01,-7.4568518851,-7.64438,-8.192597761,-8.082073676
1rdj,-24.763,-4.07,-5.6277312176,-4.45801,-6.617629557,-2.293374753
1rdl,-26.432,-3.74,-5.4827045073,-4.33047,-6.272241793,-3.094674365
1rdn,-33.264,-4.06,-5.7691973109,-4.70168,-6.258426283,-2.542053943
2c80,-137.535,-10.38,-8.6129971645,-5.8379,-8.289306335,-7.363667127
3gst,-159.984,-11.87,-9.3015995822,-9.19559,-11.08003947,-9.284023095
1wht,-70.844,-7.14,-7.5690736384,-5.69219,-8.234044293,-5.111738906
1fwv,-75.779,-6.59,-6.1161652237,-3.75689,-6.880124258,-5.139369928
1duv,-112.295,-7.47,-8.2392905024,-8.54876,-9.380731669,-16.30230246
2aj8,-95.716,-6.57,-10.8829034364,-8.00778,-8.358383888,-8.565616546
1w8l,-53.205,-5.95,-5.728415427,-4.39104,-7.114987937,-0.676960017
1w8m,-58.527,-4.34,-6.6062606849,-4.22483,-6.576183026,-2.210481689
1rql,-39.828,-2.45,-8.2737507816,-3.34247,-6.741969152,-3.799265403
1xgi,-75.454,-7.69,-8.9217002819,-7.04764,-8.220228782,-6.700522621
1d2e,-142.561,-8.92,-7.653133106,-8.02146,-9.076790437,-8.289306335
1w5v,-267.859,-15.69,-11.9912591791,-12.21503,-13.4839383,-11.2596411
1kjr,-103.536,-6.28,-7.1897929635,-6.88689,-7.695239381,-8.372199398
1ejn,-161.732,-9.98,-10.3508818825,-9.8135,-9.670857391,-7.764316934
1oif,-74.286,-6.1,-7.9363613908,-5.81279,-7.308405085,-10.66557415
1rzx,-189.084,-11.76,-8.7382863105,-5.49679,-10.08532271,-5.664359329
1ps3,-100.021,-6.52,-6.9650143294,-8.36225,-7.861025507,-3.149936407
1ur9,-180.5,-12.92,-8.8821109591,-10.35058,-10.52741905,-7.971549592
6abp,-49.836,-7.58,-6.2364838837,-6.08946,-7.612346317,-8.786664715
1lzq,-233.123,-13.38,-11.4461643706,-9.72327,-12.14383378,-11.59121336
2b07,-144.868,-10.44,-8.5286531474,-7.46646,-10.12676924,-8.883373289
1pzp,-96.103,-7.68,-9.1556014001,-6.96252,-8.510354504,-4.572933995
1fiv,-314.848,-16.98,-10.1592565153,-11.85473,-15.19706161,-9.104421458
1ohr,-188.193,-9.94,-10.5951157167,-10.20036,-12.32343542,-12.01949419
1pzo,-82.596,-4.96,-8.1158268108,-6.44968,-8.330752866,-4.586749505
1pzi,-77.587,-7.13,-6.0007651196,-6.62523,-8.455092461,-5.830145456
1qbq,-89.301,-9.6,-8.7775192004,-6.1954,-8.620878588,-11.46687376
1bhf,-152.59,-11.76,-7.7763909212,-6.17836,-8.952450842,-6.051193624
1aaq,-211.625,-12.42,-10.2927763092,-8.68395,-11.59121336,-11.60502887
1g2l,-175.089,-10.61,-10.7103147965,-9.02901,-10.44452598,-10.00242964
1urg,-107.574,-7.13,-7.1889920031,-6.31833,-7.778132444,-8.040627145
1g2k,-258.691,-12.82,-12.5170538115,-11.88407,-13.0832885,-10.9971464
1syi,-115.291,-9.47,-9.3273995824,-9.13424,-8.897188799,-7.515637744
1kav,-142.193,-8.9,-8.0506132356,-8.99849,-10.48597251,-8.040627145
2hs2,-182.475,-10.42,-10.9532174345,-9.30661,-10.95569987,-11.48068927
2hs1,-197.72,-10.7,-10.6017034127,-9.47048,-11.28727213,-11.71555295
1v0k,-80.93,-5.5,-6.6111590135,-6.28701,-7.405113659,-7.045910385
1o0m,-103.92,-10.56,-5.5442541999,-6.0662,-8.109704698,-7.114987937
1hlk,-82.415,-4.33,-6.7601221068,-7.25032,-8.468907972,-6.907755279
2sim,-95.867,-8.65,-7.0849060447,-8.36716,-8.095889187,-4.724904611
1yei,-130.714,-10.66,-7.1638687336,-7.96324,-9.187314521,-10.30637088
1f4x,-108.378,-7.53,-6.0565100199,-5.78918,-7.488006722,-7.722870402
2c1p,-116.593,-9.21,-10.0195682453,-9.08747,-9.449809222,-7.460375701
2f1g,-145.051,-8.25,-9.7537527172,-7.87739,-9.104421458,-10.41689496
2i0a,-207.055,-10.36,-13.521302939,-9.28342,-11.28727213,-15.74968204
