PDB,dsx,glide,glideXP,rf_score,vina,MMGBSA,HMScore,HPScore,HSScore,average,Experimental
1ez9,-132.535,-8.18,-11.26,-7.8852026517,-5.80204,-111.8015803,-7.722870402,-7.93010306,-7.363667127,-7.68142387,-7.045910385
2aoc,-245.526,-14.37,-12.89,-9.480086707,-8.13689,-202.6480895,-12.0333097,-11.28727213,-11.34253417,-11.56358234,-6.755784663
2hu6,-148.861,-8.21,-8.49,-9.5925719264,-9.23191,-67.69036364,-9.353100648,-9.380731669,-9.17349901,-9.297838606,-5.263709523
2aog,-258.137,-15.24,-16.64,-8.8671050636,-8.62212,-207.8438807,-12.64119216,-11.52213581,-11.52213581,-11.89515459,-8.67614063
1j14,-70.448,-8.26,-8.31,-6.3480562496,-5.33278,-36.29606737,-7.004463853,-6.990648342,-7.280774064,-7.087356916,-6.203164241
1ik4,-71.297,-7.42,-8.73,-7.5003667422,-4.88529,-23.79196917,-7.349851617,-6.852493237,-6.783415684,-6.990648342,-10.23729332
2ca8,-106.314,-7.58,-7.85,-8.9550618434,-5.69893,-69.39479156,-7.612346317,-7.211696511,-7.294589575,-7.377482638,-6.43802792
1str,-147.168,-11.62,-12.68,-9.6434263295,-6.99784,-121.7829639,-9.463624732,-9.17349901,-8.67614063,-9.104421458,-6.589998536
1sts,-183.896,-11.71,-11.37,-9.6913350587,-7.84696,-121.9867359,-10.40307945,-9.878090049,-9.477440243,-9.919536581,-6.907755279
1qhc,-191.533,-11.61,-13.3,-8.6426768939,-8.74689,-83.67728972,-9.284023095,-9.187314521,-8.897188799,-9.118236968,-10.45834149
1f9g,-26.399,-4.31,-5.92,-5.5289624088,-4.57793,-34.91867494,-6.424212409,-6.175533219,-6.009747093,-6.203164241,-1.768385351
1w4o,-107.969,-10.37,-13.93,-5.5536881212,-6.59618,-73.04923718,-8.040627145,-7.584715296,-7.584715296,-7.736685912,-7.211696511
1v2r,-131.651,-9.81,-10.89,-9.7779543001,-7.14249,-78.1501208,-8.330752866,-8.717587162,-8.759033694,-8.607063078,-4.904506248
1vyf,-114.357,-6.57,-10.09,-9.618840349,-6.04276,-113.2222437,-9.132052479,-8.67614063,-8.082073676,-8.620878588,-11.121486
1vyg,-140.744,-10.7,-12.74,-9.8004369219,-6.91459,-122.2931857,-9.615595348,-9.270207584,-8.67614063,-9.187314521,-11.05240845
1upf,-36.443,-7.11,-6.21,-7.050302411,-4.60898,-36.58596572,-6.382765878,-6.120271177,-5.995931582,-6.161717709,-6.355134857
1caq,-200.977,-7.16,-6.8,-10.2511387676,-10.29883,-68.54547725,-11.37016519,-11.121486,-11.17674804,-11.21819457,-10.66557415
1o36,-126.96,-8.51,-10.16,-10.209448792,-0.68022,-7.489628536,-9.17349901,-8.91100431,-9.007712884,-9.035343905,-8.234044293
1i9m,-82.291,-6.04,-5.23,-10.3448212842,-5.75682,-43.05119276,-8.689956141,-7.570899786,-7.405113659,-7.888656529,-11.71555295
1i9l,-83.979,-6.41,-5.34,-9.6913064185,-6.10313,-48.20838115,-8.634694099,-7.66760836,-7.460375701,-7.91628755,-11.71555295
1i9o,-85.219,-6.05,-5.24,-9.913777585,-6.4304,-47.89311229,-8.358383888,-7.501822233,-7.322220596,-7.722870402,-11.63265989
1i9n,-80.292,-5.74,-4.52,-9.4307372652,-6.08423,-50.16495635,-8.455092461,-7.543268765,-7.405113659,-7.805763465,-11.96423214
1i9q,-86.069,-5.88,-5.24,-10.0778116747,-6.33173,-56.89902795,-8.372199398,-7.529453254,-7.363667127,-7.750501423,-11.61884438
1i9p,-78.118,-5.2,-4.63,-9.6884935806,-5.67722,-49.43948415,-8.206413271,-7.308405085,-7.280774064,-7.598530807,-11.61884438
1wm1,-82.526,-6.64,-6.05,-9.3048562025,-7.14026,-57.41661015,-8.67614063,-7.888656529,-8.344568377,-8.303121845,-8.703771652
1hnn,-73.632,-8.2,-7.3,-9.6877698781,-8.33933,-43.47761846,-8.192597761,-8.026811634,-7.474191212,-7.902472039,-8.620878588
1hi5,-70.847,-6.45,-7.18,-7.0483594141,-4.7733,-41.55128946,-7.073541406,-6.741969152,-6.548552004,-6.783415684,-5.581466265
1a94,-284.139,-14.84,-12.4,-9.3151311282,-8.85884,-179.7349206,-13.11091952,-12.0333097,-11.93660112,-12.36488195,-10.84517579
1ikt,-151.875,-8.29,-7.77,-9.6667740853,-7.35595,-124.7897771,-9.781381475,-9.366916158,-8.689956141,-9.284023095,-4.69727359
1c70,-248.114,-13.64,-12.04,-12.4006504028,-11.95572,-146.6413019,-13.64972443,-12.62737665,-12.65500767,-12.97276441,-14.22997587
2mas,-97.357,-7.46,-7.15,-8.9712270685,-9.6755,-49.80854883,-9.132052479,-8.524170014,-8.468907972,-8.703771652,-10.38926394
2h4n,-46.581,-5.27,-3.93,-10.452635226,-4.9816,-52.2476604,-7.225512022,-6.769600173,-6.824862216,-6.9353863,-12.01949419
1oe8,-103.435,-8.52,-9.43,-9.1209471786,-5.49231,-66.64193063,-7.377482638,-6.976832832,-7.073541406,-7.142618958,-7.626161828
1mq5,-171.826,-7.15,-8.07,-9.4876259582,-9.77615,-89.42308687,-10.37544843,-9.864274538,-10.29255537,-10.18203128,-12.4339595
1m5w,-53.301,-6.88,-7.77,-7.3482381447,-5.15874,-40.69856224,-7.059725895,-6.783415684,-6.9353863,-6.92157079,-5.899223008
1wvj,-111.147,-8.95,-8.91,-9.4155167125,-9.84232,-96.18603078,-8.938635331,-8.869557778,-8.66232512,-8.814295736,-9.297838606
1gah,-191.637,-9.91,-18.66,-8.1951759873,-9.14877,-144.9495461,-10.61031211,-9.90572107,-9.629410859,-10.04387618,-16.57861267
1t32,-173.958,-11.37,-9.22,-10.3411599765,-11.13533,-82.39401175,-12.93131788,-11.32871866,-11.09385498,-11.78463051,-10.25110883
1ui0,-57.519,-8.35,-8.78,-6.6127289753,-5.16625,-38.14219625,-6.769600173,-6.520920983,-6.493289962,-6.589998536,-9.753750454
1t31,-158.864,-11.51,-12.9,-10.3633902076,-10.00975,-90.24727038,-12.32343542,-10.41689496,-10.52741905,-11.09385498,-11.93660112
1tng,-68.681,-6.79,-5.27,-5.6409335075,-3.91466,-28.76718415,-6.631445068,-6.617629557,-6.990648342,-6.741969152,-4.047944594
1tnl,-73.137,-6.05,-5.36,-6.3220995348,-4.29886,-31.5516091,-7.073541406,-6.797231195,-7.18406549,-7.018279363,-2.597315985
1tnk,-72.258,-6.01,-5.85,-6.3429861526,-3.83896,-16.31587006,-6.589998536,-6.68670711,-7.032094874,-6.769600173,-2.058511073
1igj,-140.235,-7.76,-8.78,-8.8395462433,-9.64407,-106.3141292,-11.19056355,-9.947167602,-9.477440243,-10.2096623,-13.81551056
1c87,-100.165,-10.68,-16.28,-7.3801631574,-7.17452,-77.31723999,-8.192597761,-7.764316934,-7.460375701,-7.805763465,-5.802514434
1gu1,-80.711,-9.57,-9.64,-5.5626016362,-7.56662,-62.65288768,-8.289306335,-7.488006722,-7.584715296,-7.791947955,-6.244610772
1utn,-64.895,-7.14,-5.78,-5.9152461274,-3.99863,-10.10716245,-6.68670711,-6.700522621,-6.976832832,-6.783415684,-4.821613185
1gi8,-99.366,-10.52,-10.51,-9.1504685428,-7.53127,-37.7492316,-8.206413271,-8.068258166,-8.41364593,-8.220228782,-6.976832832
2cht,-98.074,-9.32,-8.58,-6.6203207221,-8.25254,-84.74747817,-8.42746144,-7.999180613,-7.874841018,-8.095889187,-7.626161828
2f35,-110.125,-8.04,-6.99,-8.9987235509,-7.6527,-74.15947783,-9.062974926,-7.957734081,-7.93010306,-8.316937356,-7.460375701
1utl,-63.674,-5.9,-5.21,-6.5941993059,-3.85647,-16.95659994,-6.368950367,-6.507105473,-6.811046705,-6.562367515,-3.412431108
1a7x,-230.358,-13.68,-14.38,-11.6064893303,-12.49152,-176.3150018,-13.44249177,-12.1714648,-11.75699948,-12.46159052,-13.40104524
1utm,-63.855,-7.21,-5.09,-6.2827832701,-4.14114,-13.7284718,-6.589998536,-6.520920983,-6.700522621,-6.603814047,-4.158468678
1fm9,-223.28,-15.5,-13.23,-10.5718266355,-12.95665,-144.8628823,-14.49247058,-13.76024852,-12.94513339,-13.73261749,-12.4339595
5abp,-64.124,-7.32,-9.18,-6.6067187007,-7.15423,-75.78584341,-7.722870402,-7.17024998,-7.142618958,-7.349851617,-9.173499011
1b8n,-117.787,-10.24,-11.32,-10.0818142255,-9.70761,-94.44514177,-9.021528394,-8.455092461,-8.303121845,-8.593247567,-14.53391711
1qan,-170.768,-10.5,-7.54,-8.8923534913,-9.03703,-100.030171,-9.270207584,-9.076790437,-8.952450842,-9.104421458,-6.18934873
1qft,-58.342,-7.12,-6.72,-7.4808111019,-4.12009,-36.96129929,-6.479474452,-6.534736494,-6.286057304,-6.43802792,-12.11620276
1o2h,-123.646,-8.62,-9.57,-7.2304683673,-8.66576,-18.95071252,-8.91100431,-8.841926757,-9.145867989,-8.966266352,-9.90572107
1b8y,-171.869,-7.72,-3.12,-9.86203136,-8.57463,-70.7588359,-10.00242964,-9.781381475,-9.629410859,-9.809012496,-10.84517579
1sqt,-120.111,-8.38,-7.67,-9.2760031911,-7.82314,-66.48627453,-7.985365103,-8.261675314,-8.192597761,-8.151151229,-8.565616546
2fw6,-83.914,-8.47,-9.62,-5.2835427526,-5.65125,-53.78886957,-7.474191212,-7.073541406,-7.087356916,-7.211696511,-4.034129083
1ws5,-65.861,-5.98,-6.96,-6.2113967966,-4.93889,-55.60939772,-6.700522621,-6.424212409,-6.272241793,-6.465658941,-4.186099699
1eld,-150.171,-8.12,-8.33,-9.750514082,-8.56542,-74.84620885,-10.27873986,-9.062974926,-9.007712884,-9.449809222,-9.256392074
1ele,-146.506,-7.89,-7.22,-9.5474937728,-8.28229,-79.4626582,-10.15440026,-8.855742268,-8.92481982,-9.311654116,-9.463624732
1elc,-142.417,-5.67,-4.86,-10.8948614297,-6.29892,-38.67116352,-8.689956141,-8.703771652,-9.104421458,-8.828111247,-9.201130032
5yas,-45.789,-7.09,-7.87,-5.7360722231,-5.34225,-42.25679019,-6.741969152,-6.451843431,-6.341319346,-6.507105473,-4.503856442
1ws4,-68.134,-5.83,-7.58,-5.9572862688,-4.90354,-55.00337522,-6.6728916,-6.396581388,-6.244610772,-6.43802792,-4.144653167
2dw7,-50.575,-5.48,-5.23,-5.8440364397,-4.39668,49.99684654,-7.045910385,-6.534736494,-6.451843431,-6.6728916,-6.493289962
1br6,-103.597,-8.69,-6.06,-8.9567947361,-7.73005,-81.98893224,-9.325469627,-8.455092461,-8.344568377,-8.703771652,-4.4485944
1tx7,-83.391,-9.5,-8.28,-6.7299466387,-5.91928,-47.29561416,-7.529453254,-7.363667127,-7.446560191,-7.446560191,-6.355134857
1sqo,-119.186,-8.31,-7.04,-9.951821016,-7.46956,-27.8707827,-8.192597761,-8.247859803,-8.551801035,-8.330752866,-10.30637088
1elr,-125.799,-10.36,-15.51,-8.2653483645,-5.42584,-100.5969132,-7.985365103,-7.874841018,-7.778132444,-7.874841018,-6.852493237
2fpz,-57.25,-5.93,-4.1,-6.7954885981,-6.79475,12.63980124,-7.114987937,-7.059725895,-7.322220596,-7.17024998,-5.470942181
1n3i,-117.24,-11.58,-13.18,-9.6501582218,-9.45035,-106.3094669,-8.607063078,-8.289306335,-7.957734081,-8.289306335,-12.28198889
1hmr,-112.796,-6.73,-10.07,-9.8893516411,-5.41592,-105.6682395,-8.91100431,-8.496538993,-8.275490824,-8.565616546,-9.049159416
1hms,-118.634,-6.71,-10.21,-9.8551631476,-5.72722,-102.894303,-8.952450842,-8.800480225,-8.330752866,-8.689956141,-8.800480225
1hmt,-117.999,-6.58,-10.5,-9.9165291461,-5.7128,-106.9502312,-9.353100648,-8.855742268,-8.247859803,-8.814295736,-7.999180613
1g1d,-87.242,-6.54,-5.65,-9.806999346,-6.56698,-60.26949472,-8.772849204,-7.93010306,-7.722870402,-8.137335719,-13.04184197
1fjs,-166.379,-9.77,-10.47,-11.4620810208,-8.84758,-96.92139455,-9.698488412,-9.546517796,-9.049159415,-9.435993711,-13.76024852
1ppc,-141.644,-9.97,-11.68,-10.8381493787,-8.59411,-90.5942398,-10.77609824,-9.325469627,-9.228761053,-9.781381475,-8.510354504
1ce5,-69.773,-8.93,-8.98,-6.3339542974,-5.5069,-37.81755756,-7.045910385,-7.059725895,-7.336036106,-7.142618958,-6.548552005
1v1j,-86.136,-9.6,-9.05,-5.5449191061,-8.02237,-62.41383416,-8.16496674,-7.529453254,-7.598530807,-7.764316934,-6.659076089
1o3d,-119.013,-9.27,-8.43,-8.9461061206,-9.03771,-9.92782681,-8.993897373,-8.814295736,-9.17349901,-8.993897373,-9.850459028
1l83,-44.991,-5.77,-5.08,-5.2372008223,-5.41438,-39.66259734,-7.225512022,-7.266958553,-6.852493237,-7.114987937,-4.69727359
1tsl,-78.218,-4.77,-3.2,-9.0682494248,-7.70701,-53.78988212,-10.15440026,-7.91628755,-8.192597761,-8.759033694,-8.496538993
1o3j,-87.025,-7.01,-9.22,-7.5138393548,-7.33129,-32.52159286,-8.565616546,-7.943918571,-8.17878225,-8.234044293,-9.353100648
2byr,-182.203,-8.53,-9.84,-9.7704759057,-10.21383,-92.28196517,-11.34253417,-10.96951538,-10.44452598,-10.91425334,-11.81226153
1okl,-68.457,-5.53,-4.3,-9.1190599122,-5.53612,-51.37121767,-8.275490824,-7.570899786,-7.598530807,-7.819578976,-8.330752867
2c97,-100.429,-10.48,-13.37,-6.9622653109,-6.22108,-73.67378746,-8.386014909,-7.66760836,-7.68142387,-7.91628755,-8.482723483
2c94,-166.273,-11.24,-14.6,-8.259925349,-8.60473,-115.4965168,-9.65704188,-9.339285137,-9.1596835,-9.394547179,-9.422178201
2c92,-173.359,-11.82,-18.26,-8.0551039577,-8.31068,-117.0873521,-9.505071264,-9.284023095,-9.201130032,-9.325469627,-7.847209997
1fcy,-178.379,-16.6,-19.56,-12.0266792816,-16.40335,-159.1945089,-14.31286894,-13.71880198,-11.95041663,-13.31815218,-11.770815
1f5l,-71.847,-7.09,-6.74,-6.1365951371,-7.88788,-57.84102461,-8.068258166,-7.322220596,-7.43274468,-7.612346317,-7.294589575
1yid,-97.489,-7.75,-12.69,-7.6695185117,-6.81803,-54.88665874,-8.689956141,-8.109704698,-7.971549592,-8.261675314,-6.907755279
1o30,-116.94,-7.77,-9.48,-9.8639838459,-6.91986,-17.11483915,-8.91100431,-8.689956141,-8.786664715,-8.800480225,-9.353100648
1o33,-87.608,-7.46,-8.38,-7.12795038,-6.87336,-33.71219342,-7.91628755,-7.791947955,-7.971549592,-7.888656529,-7.93010306
1m2x,-61.576,-3.98,-3.88,-6.3229757155,-3.31803,-12.34022996,-6.659076089,-6.645260578,-6.949201811,-6.741969152,-5.733436882
1owh,-121.512,-10.26,-9.53,-9.1649992971,-6.99614,-57.36588106,-8.344568377,-8.482723483,-8.828111247,-8.551801035,-10.22347781
1i5r,-269.288,-19.01,-22.23,-10.0865978984,-13.15156,-201.5041676,-14.58917915,-14.05037424,-12.86224033,-13.82932607,-11.770815
1owe,-109.825,-9.72,-10.97,-8.3760271109,-7.69157,-57.73660513,-8.303121845,-8.372199398,-8.966266352,-8.551801035,-8.565616546
1o38,-119.39,-9.5,-11.5,-9.2381243389,-8.03762,-15.92490566,-8.745218183,-8.66232512,-8.952450842,-8.786664715,-9.422178201
1m2p,-80.907,-8.53,-8.52,-8.4935728283,-10.37048,-69.59940565,-9.201130032,-9.007712884,-8.247859803,-8.814295736,-8.441276951
1m2r,-86.888,-8.1,-6.06,-8.81865275,-9.14008,-72.61583435,-9.17349901,-8.841926757,-8.040627145,-8.67614063,-8.92481982
1fj4,-77.512,-7.55,-6.12,-7.7339039292,-7.53628,-83.71804796,-7.957734081,-7.985365103,-8.634694099,-8.192597761,-6.341319346
1njc,-89.199,-8.99,-9.2,-7.389651394,-7.29995,-59.41955785,-8.551801035,-7.861025507,-7.957734081,-8.123520208,-7.66760836
6tim,-61.159,-6.12,-5.58,-5.7564489001,-4.49443,-40.11780606,-7.032094874,-6.659076089,-6.520920983,-6.741969152,-4.434778889
1pot,-82.115,-10.82,-16.05,-7.8694633635,-5.45136,-88.72961357,-7.722870402,-7.543268765,-7.045910385,-7.43274468,-7.584715296
1grp,-34.754,-8.19,-9.06,-6.1229464287,-2.85673,8.803600579,-7.045910385,-6.520920983,-6.507105473,-6.700522621,-5.139369928
1njd,-98.305,-10.05,-11.78,-6.9809996637,-8.17569,-73.10507903,-8.261675314,-7.750501423,-7.778132444,-7.93010306,-7.695239381
1ceb,-70.102,-8.54,-9.61,-5.5413313849,-5.34984,-57.03531353,-7.778132444,-7.391298149,-6.963017321,-7.377482638,-8.289306335
1cea,-54.604,-6.93,-11.88,-5.5152809898,-3.94249,-50.33728692,-6.755784663,-6.68670711,-6.203164241,-6.548552004,-6.852493237
1utj,-64.185,-7.24,-5.57,-6.1327925469,-3.57926,-7.020144014,-6.520920983,-6.520920983,-6.741969152,-6.589998536,-5.305156054
4er1,-239.02,-11.84,-10.16,-11.5154719693,-10.62812,-119.1296817,-14.38194649,-12.9589489,-12.61356114,-13.31815218,-9.145867989
2f7p,-92.642,-5.01,-6.22,-8.2564943836,-7.29159,4.274711917,-7.888656529,-7.612346317,-7.598530807,-7.695239381,-9.118236968
1erb,-149.634,-9.8,-11.76,-9.4960083657,-10.53144,-139.693592,-10.52741905,-11.42542723,-11.01096191,-10.98333089,-11.19056355
1jfh,-92.212,-4.85,-8.89,-8.2946116792,-5.1085,-61.34728488,-7.336036106,-7.045910385,-6.714338131,-7.032094874,-2.832179664
1izh,-231.945,-14.66,-14.77,-11.3660648234,-10.22763,-156.5581307,-13.6082779,-12.11620276,-12.19909582,-12.64119216,-10.63794313
1r6n,-118.541,-6.73,-5.87,-9.647626706,-8.56071,-78.843198,-11.05240845,-8.938635331,-8.800480225,-9.601779838,-10.22347781
2bza,-64.482,-6.88,-5.38,-5.6519105447,-3.69581,-3.898891009,-6.589998536,-6.617629557,-6.852493237,-6.68670711,-3.868342956
1ucn,-113.09,-9.32,-9.68,-7.1681048784,-7.57065,-61.92147634,-8.386014909,-7.888656529,-7.764316934,-8.012996124,-7.211696511
1xd0,-203.631,-8.53,-16.37,-7.5867759692,-9.19824,-101.4053387,-10.7346517,-10.30637088,-9.90572107,-10.32018639,-9.836643517
2f7o,-68.943,-7.06,-6.56,-7.850419647,-6.83294,3.095284615,-7.736685912,-7.197881001,-7.197881001,-7.377482638,-10.27873986
1ghz,-85.864,-8.65,-8.75,-7.0908556085,-7.0619,-26.65589399,-7.750501423,-7.709054891,-7.764316934,-7.736685912,-6.631445068
1hvr,-268.739,-14.07,-13.2,-11.6417190271,-14.74934,-146.4630498,-14.09182077,-13.45630728,-12.68263869,-13.41486075,-13.13855054
1mrx,-189.431,-10.26,-9.46,-11.5826353914,-11.49471,-134.3713752,-12.62737665,-11.43924274,-12.04712521,-12.0333097,-10.03006067
2iuz,-113.692,-9.77,-9.79,-8.1618150394,-9.01234,-103.3283079,-8.137335719,-8.026811634,-7.778132444,-7.985365103,-7.66760836
1mrw,-194.847,-9.93,-10.07,-11.6971774868,-11.21381,-136.5555879,-12.61356114,-11.27345662,-12.13001827,-12.00567867,-13.40104524
1mrn,-184.154,-9.08,-13.75,-8.233669662,-8.78928,-87.52042739,-9.739934943,-10.0715072,-9.698488412,-9.836643517,-6.244610772
2bqv,-230.433,-11.73,-10.87,-10.2369976327,-11.16263,-146.3961471,-13.00039544,-12.25435786,-11.95041663,-12.40632848,-11.121486
1hvi,-273.716,-15.16,-14.57,-10.9461650976,-11.07096,-163.5938139,-14.27142241,-12.72408522,-12.30961991,-13.09710401,-15.08653753
1hvh,-198.973,-11.29,-9.08,-11.430246146,-10.91761,-138.2307393,-13.24907463,-11.48068927,-10.70702068,-11.81226153,-10.9971464
1hvk,-265.837,-14.75,-14.12,-10.9413450194,-10.75835,-156.0422982,-14.21616036,-12.66882318,-12.42014399,-13.09710401,-15.14179957
1hvj,-269.905,-14.66,-14.24,-11.0722048337,-11.14057,-166.5586383,-14.03655873,-12.57211461,-12.22672684,-12.94513339,-15.74968204
1hvl,-252.139,-13.67,-13.16,-11.1817927748,-10.20641,-163.0601105,-13.62209341,-12.01949419,-11.74318397,-12.46159052,-13.74643301
1oar,-98.768,-9.6,-10.67,-8.0951627622,-10.63474,-74.07542824,-9.919536581,-9.781381475,-8.634694099,-9.449809222,-10.22347781
1hvs,-269.987,-14.94,-14.97,-10.9802548699,-10.66043,-154.7088848,-13.6082779,-12.39251297,-12.35106644,-12.77934727,-14.22997587
1pbk,-170.135,-10.68,-10.76,-8.4315663136,-10.42879,-120.7820061,-13.47012279,-10.22347781,-10.18203128,-11.28727213,-12.50303706
2gst,-165.521,-13.6,-18.49,-9.1604940099,-8.93766,-130.5704225,-11.39779621,-10.25110883,-9.864274538,-10.49978802,-8.386014909
2gsu,-92.652,-4.49,-5.98,-7.4001693872,-5.88644,-22.17666699,-8.441276951,-7.943918571,-7.861025507,-8.082073676,-4.95976829
220l,-45.293,-5.72,-5.03,-5.1708316687,-5.26846,-38.20106715,-7.17024998,-7.363667127,-6.797231195,-7.101172427,-4.69727359
1owd,-130.17,-9.61,-10.8,-9.7459486049,-8.38585,-54.45353763,-8.966266352,-8.91100431,-9.422178201,-9.104421458,-11.32871866
1qbn,-129.973,-11.02,-13.04,-9.3379529997,-8.23784,-70.36175799,-9.643226369,-9.062974926,-9.035343905,-9.242576563,-8.082073676
1qbo,-143.6,-11.23,-11.48,-10.0510326778,-9.13511,-81.29409303,-9.878090049,-9.339285137,-9.615595348,-9.615595348,-10.69320517
1vjc,-122.276,-4.68,-6.5,-6.671253505,-5.95831,-40.19864314,-8.082073676,-7.791947955,-7.543268765,-7.805763465,-4.94595278
2iko,-117.658,-9.05,-8.8,-9.908413724,-9.05441,-70.33986775,-10.32018639,-9.242576563,-9.007712884,-9.518886774,-7.529453254
1vja,-169.201,-11.13,-14.31,-10.608876305,-7.30569,-79.30594481,-8.869557778,-9.17349901,-9.118236968,-9.049159415,-10.63794313
1vjd,-157.131,-10.72,-12.63,-8.1366987882,-7.98675,-66.40898198,-8.980081863,-8.607063078,-8.386014909,-8.66232512,-4.890690738
2bq7,-155.079,-6.42,-5.4,-9.9723975304,-8.90989,-45.68626328,-9.449809222,-9.145867989,-9.40836269,-9.339285137,-9.739934943
1sc8,-160.685,-10.68,-11.71,-10.9255906676,-7.32701,-70.57502601,-8.869557778,-8.938635331,-8.841926757,-8.883373289,-10.27873986
1usn,-82.05,-3.56,-4.05,-9.4842278031,-6.11486,-26.65015839,-7.750501423,-7.529453254,-7.266958553,-7.515637744,-10.69320517
1h2t,-189.941,-13.13,-15.71,-8.2560744289,-9.47461,-106.3855701,-9.878090049,-9.615595348,-9.256392074,-9.587964327,-10.90043783
1qbr,-276.494,-16.19,-14.26,-11.3652989826,-13.77194,-167.8510327,-15.10035304,-13.30433667,-12.65500767,-13.69117096,-14.60299466
1qbt,-306.904,-17.98,-15.63,-10.5557607449,-14.81036,-174.649491,-15.80494408,-14.31286894,-13.95366566,-14.68588772,-14.67207221
1qbu,-218.215,-12.07,-12.33,-11.3238800052,-12.03413,-140.9559428,-13.40104524,-11.79844602,-11.35634968,-12.18528031,-14.14708281
1g2o,-118.327,-10.94,-13.39,-9.8460383223,-9.83858,-87.10972824,-8.745218183,-8.275490824,-8.082073676,-8.372199398,-14.57536364
1lpg,-181.185,-10.84,-11.86,-10.4255517783,-8.88969,-76.71340699,-10.2096623,-10.0715072,-9.90572107,-10.05769169,-9.795196986
1gz3,-138.365,-8.4,-9.12,-7.9638126479,-6.74032,-44.44845607,-7.819578976,-7.709054891,-7.391298149,-7.639977339,-5.111738906
1y2f,-64.77,-4.57,-3.95,-7.2351962342,-5.21296,-61.91370891,-8.358383888,-7.377482638,-7.073541406,-7.598530807,-6.797231195
1qin,-125.3,-10.08,-12.21,-8.2381880247,-7.76815,-83.78469486,-10.23729332,-9.809012496,-9.325469627,-9.795196986,-11.05240845
1lpk,-164.333,-11.14,-12.25,-10.4319783152,-9.3229,-64.52097057,-10.61031211,-10.25110883,-9.781381475,-10.22347781,-10.43071047
1meu,-213.806,-12.79,-14.35,-12.7552784725,-11.65908,-129.9626757,-13.6082779,-11.74318397,-11.121486,-12.15764929,-8.42746144
1li2,-47.481,-6.68,-5.85,-6.0928769599,-5.46502,-44.18426648,-7.336036106,-7.225512022,-6.893939768,-7.156434469,-5.581466265
1kdk,-143.404,-11.47,-12.35,-10.2102702028,-12.35003,-131.7380135,-10.55505007,-10.69320517,-10.11295373,-10.45834149,-12.50303706
1li6,-41.848,-6.11,-5.38,-5.8295861044,-3.90836,-39.23774444,-6.700522621,-6.617629557,-6.451843431,-6.589998536,-5.249894012
1gz9,-119.718,-5.61,-9.01,-7.4521194119,-5.74116,-80.69479613,-7.957734081,-7.460375701,-7.322220596,-7.584715296,-4.849244206
1bv9,-276.186,-16.1,-15.84,-11.3437076422,-13.36932,-163.6034717,-14.68588772,-13.29052116,-12.71026971,-13.55301586,-12.37869746
1lpz,-157.096,-8.83,-9.48,-9.9645561013,-9.95471,-71.30658283,-10.48597251,-9.960983112,-10.04387618,-10.16821577,-10.49978802
1mrs,-115.948,-8.8,-12.82,-7.1284653365,-7.09175,-34.00963544,-8.731402673,-8.482723483,-8.247859803,-8.496538993,-5.470942181
