ID,Lig_Strain_Energy,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,2.5_contacts,4.0_contacts,H_B_ligand,H_B_receptor,backbone_alpha,backbone_beta,backbone_other,hydrophobic,pi-cation,pi-pi,pi-t,rotable_bonds,salt_bridge,sidechain_alpha,sidechain_beta,sidechain_other,Exp_energy
1apv,5.631962449,-45.0985432,3.988980047,-4.476873924,-48.88598393,0,55.05056641,-65.92634024,17,276,0,4,6,2,52,0,0,0,17,16,0,1,91,145,-12.4339595
1awi,14.6445078,-26.91605003,8.983441502,-2.004894738,-75.56340971,0,11.09645183,-79.12704734,8,243,1,0,1,7,8,0,0,0,45,10,0,188,9,45,-5.595281776
1b05,13.14979505,-126.6714374,6.744636442,-6.478566869,-8.00038207,0,134.7903652,-57.86043766,27,409,1,47,8,5,38,0,0,0,30,18,1,87,158,105,-9.836643517
1b32,8.997366615,-146.9119517,4.693342313,-6.494186823,-21.93339132,0,153.8822074,-63.67073755,29,395,2,42,8,5,27,1,0,0,27,19,1,91,170,92,-9.809012496
1b3f,5.417380085,-128.4712142,1.758371922,-8.68537858,-11.44201771,-1.589954991,143.0411879,-61.25995132,24,462,3,41,7,6,38,0,0,1,42,18,2,99,167,138,-9.518886774
1b3g,9.753965462,-144.7566879,5.053514427,-5.935516604,-17.96013632,0,153.0153745,-58.6918069,26,376,1,39,7,5,31,0,0,0,27,18,1,79,153,99,-9.256392074
1b3h,13.0347852,-122.0560799,8.145564044,-6.587325546,-19.19528799,-1.241955611,147.5843718,-68.50300828,25,455,3,46,8,5,35,1,0,2,42,18,1,107,174,115,-8.579432057
1b3l,3.330451933,-177.7698926,1.508743518,-7.699698445,-3.90267218,0,164.3492035,-53.42383729,23,353,2,33,9,4,38,1,0,0,23,16,1,64,138,101,-8.137335719
1b40,8.366999601,-180.2362522,2.225917064,-8.478997582,-18.84963381,-1.282746111,162.0509206,-65.81105054,26,453,3,43,7,4,30,0,0,2,44,18,1,105,188,110,-10.05769169
1b46,7.209087939,-169.7420615,5.030812345,-8.526301863,-14.56534326,0,145.3371038,-58.81108643,25,371,1,53,6,5,15,0,0,0,29,15,1,72,161,94,-7.294589575
1b51,6.443445338,-185.0229024,1.58493564,-9.295638197,-7.71691114,0,165.879042,-54.82716833,25,390,2,36,7,5,33,0,0,0,22,18,1,93,142,109,-10.18203128
1b58,7.67176885,-161.9602729,4.127024667,-6.479261055,-18.37037064,-1.538379961,154.3297231,-64.3901027,27,468,2,46,9,5,37,0,0,2,41,19,1,103,177,130,-9.104421458
1b5i,14.42713544,-221.8223643,8.548751139,-7.861357525,-7.56596288,-1.859442816,188.7083531,-58.47131533,28,454,2,43,7,5,40,0,0,0,25,18,1,105,170,122,-9.739934943
1b5j,10.08776353,-128.226873,3.639997639,-8.763604746,-11.36955342,-2.137808399,130.2941996,-65.10725547,29,476,2,46,9,7,40,0,0,0,36,19,1,103,193,121,-10.26492434
1b74,0.939970508,-8.82345696,1.274085123,-1.716978715,-7.84029531,-0.00000136,6.835598897,-24.70415574,8,154,10,3,2,4,18,0,0,0,2,5,0,56,30,45,-1.796016373
1b8n,3.265260362,-49.23063512,1.817573993,-5.478971094,-28.96361142,-0.480254813,31.42023024,-43.52947359,15,361,0,40,5,2,11,0,0,1,25,6,0,42,110,173,-14.53391711
1b8y,6.994603564,92.60684859,1.982001171,-0.719872162,-42.81681732,-1.972630361,-64.98248581,-54.85588002,6,198,5,15,0,1,28,3,1,0,26,6,4,58,25,73,-10.84517579
1bai,17.8754667,-75.36976034,6.813754811,-6.434146753,-81.78955544,-0.113018502,83.27589787,-104.7093883,21,544,0,26,9,7,58,0,0,0,35,29,2,0,142,339,-10.63794313
1bap,8.708814829,-40.45405847,1.070381694,-5.201199611,-14.60365641,0,21.1638762,-18.74750228,14,184,0,0,4,4,1,0,0,0,8,4,0,55,2,140,-9.463624732
1bcd,-0.613168737,-24.01615732,1.023138057,-2.016045814,-5.4599466,0,-7.62340744,-8.851939417,9,162,0,3,0,1,10,0,0,0,4,2,0,0,105,53,-12.01949419
1bdq,7.92993516,-27.05932044,2.022850017,-2.839670261,-66.5561848,-1.169997921,44.78403578,-71.38214895,6,275,0,10,5,1,27,0,0,0,30,15,0,0,102,142,-8.759033694
1bgq,3.00942151,-25.14872218,0.69180977,-2.178716983,-40.1364098,-0.408197876,22.58854323,-47.38485786,8,244,27,3,2,1,0,0,0,0,28,2,0,119,77,26,-11.83989255
1bhf,18.80123678,-238.0802863,7.840026514,-17.47704095,-31.67556581,-0.388863835,227.2766739,-50.30047488,16,330,0,28,1,12,14,1,0,0,29,20,6,65,175,64,-6.051193624
1bhx,7.906916249,-175.3353987,0.612018616,-7.130874496,-53.51844399,-1.60156753,162.2953628,-53.84747696,14,286,0,56,5,1,43,0,0,2,33,9,1,0,90,111,-9.449809222
1bp0,2.396866591,18.0850664,1.274202021,-14.44679696,-11.35267518,-0.0000539,-31.06587958,-28.7337324,16,226,3,8,2,9,0,0,0,0,2,5,3,24,103,104,-7.460375701
1bq4,4.539676532,-584.6954478,2.709374886,-28.61695845,-3.96567032,-0.138416716,566.696849,-19.5246091,31,268,1,0,0,17,11,1,0,0,6,6,13,148,73,66,-7.211696511
1br6,6.452000728,31.7289862,2.318596382,-9.178460844,-16.46549845,-6.115651887,-42.96353389,-41.31336975,12,302,10,27,4,5,5,0,2,0,22,6,1,126,106,40,-4.4485944
1bv7,10.42796505,-51.61143252,0.736450476,-4.397454515,-69.29409568,-1.560181511,50.81106741,-101.9674079,12,466,0,43,4,7,48,0,0,0,58,14,0,0,175,212,-12.84842482
1bv9,10.6356754,-49.25487143,-0.506214458,-4.405941811,-66.83614797,-0.000145611,53.46724515,-96.06739553,14,469,0,44,4,6,46,0,0,0,55,14,0,0,176,217,-12.37869746
1bwa,13.49281682,-45.41016575,0.734276965,-4.110389809,-67.40745591,-0.0000471,49.78525042,-93.77936529,12,433,0,38,4,5,39,0,0,0,48,14,0,0,174,194,-10.49978802
1bwb,15.39446995,-52.63574002,3.564405404,-4.857465056,-64.32260069,-0.61995141,56.40012572,-102.9410507,12,510,0,41,4,6,40,1,0,0,50,14,0,0,237,204,-11.63265989
1bxq,11.50186452,81.91166843,6.442285013,-3.524256901,-55.99078858,-0.035440335,-52.91279798,-78.03085363,11,350,0,3,3,4,44,0,0,0,24,19,0,0,121,193,-10.19584679
1byk,11.46080365,-58.80502657,6.481525497,-14.94425726,-34.79779026,0,41.6830705,-37.64294313,28,380,8,10,5,11,10,0,0,0,11,13,1,130,106,144,-6.907755279
1bzc,4.176956921,-163.4339541,2.159284838,-12.03589717,-29.70301347,-1.433165301,160.2407221,-40.99450179,21,309,14,2,1,11,25,0,2,0,34,8,2,63,17,209,-6.797231195
1bzh,30.70344279,-160.5970944,18.49248808,-13.12192902,-25.31181151,-3.247593494,172.6827707,-47.13422509,19,305,15,2,1,12,22,0,1,0,20,16,4,65,21,199,-9.353100648
1bzy,3.474533519,-93.90756589,11.09190441,-10.83833248,-24.1962355,-0.91341964,91.4709495,-42.19007797,20,398,12,14,3,7,49,1,1,0,27,7,1,53,115,175,-11.52213581
1c1r,14.45864911,-198.5092431,7.962927747,-2.718086099,-22.59262684,-1.058806417,286.8675667,-29.63038516,12,268,0,18,5,0,77,0,0,0,29,4,0,0,34,151,-10.54123456
1c5c,1.8828308,-68.56703117,1.373501018,-7.569697847,-20.75485612,-1.637012829,65.23129248,-34.68542259,7,224,0,1,0,6,4,0,1,1,27,3,2,0,101,125,-9.615595348
1c5p,3.871760444,-221.947624,2.277103787,-7.546583906,-13.06108422,-0.000000002,223.1095177,-20.73976333,9,170,0,12,4,0,62,0,0,0,19,2,0,0,28,77,-6.465658941
1c5q,3.371797054,-212.2136405,2.308245905,-2.381388523,-26.09267077,-0.000127989,206.553619,-27.74302049,9,178,0,14,3,0,60,0,0,0,13,2,0,0,30,83,-8.786664715
1c5s,3.580492599,-196.3038867,2.449672721,-2.337296854,-21.54093345,-0.000487707,203.1819248,-23.61990644,7,176,0,11,3,0,61,0,0,0,11,2,0,0,27,84,-8.289306335
1c5t,2.28476221,-212.163905,1.881415581,-2.537711967,-20.8635056,-0.244523773,203.1559722,-24.49121747,11,188,0,12,3,1,62,0,0,0,12,2,0,0,30,95,-5.664359329
1c5x,3.902656451,-201.3404758,2.812309306,-2.386600088,-27.10074882,-0.0000116,198.8721376,-26.79558743,9,171,0,17,3,0,47,0,0,0,10,2,0,0,26,90,-9.228761053
1c5y,2.271540961,-204.7976548,1.974453631,-2.529574807,-20.42476318,-0.360363788,192.3266235,-23.41401727,9,173,0,15,3,1,53,0,0,0,10,2,0,0,23,91,-5.802514434
1c5z,3.234557213,-211.3203444,2.374157272,-7.390784889,-12.20006794,0,211.8622849,-19.17791157,8,148,0,14,4,0,49,0,0,0,12,2,0,0,26,67,-5.540019734
1c70,18.66241936,-27.27890253,-1.187984643,-2.912215143,-78.09330006,-0.0000142,51.70990275,-88.87878811,8,425,0,13,4,2,50,0,0,0,53,14,2,0,98,272,-14.22997587
1c83,3.188459453,-147.7389837,4.164872418,-9.98806045,-11.81833457,-0.489890958,134.9166569,-34.88181697,18,237,10,1,1,12,7,0,0,0,22,3,2,55,15,167,-6.700522621
1c84,7.037612827,-98.10361956,6.839748034,-10.18720442,-16.05397008,-1.275069423,98.09572765,-33.28385761,16,231,13,0,1,8,15,0,1,0,19,3,3,63,13,143,-6.907755279
1c86,3.976425546,-109.8596524,4.687012195,-10.80193697,-21.48275018,-0.787820726,107.5664253,-38.21943468,17,218,10,1,0,11,6,0,1,0,17,3,2,52,15,151,-6.493289962
1c87,2.959211472,-138.1867641,4.414952296,-10.36817515,-21.44352468,-0.997811821,128.0498052,-38.78572177,16,217,10,1,0,11,6,0,1,0,18,3,2,51,16,149,-5.802514434
1caq,11.04327221,92.44761392,4.360980838,-0.724690559,-50.37870414,-1.749519689,-45.92616643,-66.57499119,7,251,4,17,1,2,29,4,3,2,33,8,4,63,63,82,-10.66557415
1ce5,2.600115482,-217.8841389,1.707804118,-7.187971756,-13.03508995,-0.109334478,221.441166,-22.74999267,7,175,0,10,4,0,64,0,0,0,19,2,0,0,30,78,-6.548552005
1cea,1.500682201,-70.98926638,1.743472215,-6.275186045,-19.22760172,0,60.84588942,-16.43459441,8,131,0,0,2,3,0,0,0,0,22,6,3,0,74,65,-6.852493237
1ceb,1.154792731,-78.26774504,1.297910851,-8.958034625,-22.84250188,0,65.97190703,-14.23684985,10,118,0,0,2,5,1,0,0,0,18,3,4,0,57,70,-8.289306335
1cil,2.548157488,-39.77687337,4.263937461,-2.492073573,-25.33997004,-0.208016949,31.1562958,-39.66031749,8,200,0,1,2,0,7,1,0,1,10,4,1,9,90,101,-13.02802646
1cim,1.898200457,-35.07616969,1.632204182,-3.035404468,-18.78919064,-0.517359681,19.38867792,-29.66878393,12,192,0,0,4,1,31,0,0,0,4,3,0,5,53,115,-12.18528031
1cin,1.344795284,-23.4678488,1.014907219,-2.408471293,-22.74891363,-0.426483614,11.02389781,-34.59175128,9,202,0,0,2,1,13,1,0,1,5,3,0,13,74,111,-12.06094072
1ciz,11.09419715,104.6823631,4.580675008,-0.437142288,-52.11323569,-2.373104882,-52.80840564,-61.00402876,5,226,5,11,0,1,27,4,2,0,35,8,5,57,58,73,-10.27873986
1cnw,2.745662119,2.615376602,0.19287441,-1.910025637,-24.44209675,-0.605603264,-6.065967949,-31.76395988,7,212,0,0,3,1,20,0,0,0,12,14,0,24,48,127,-10.66557415
1cnx,5.538465952,-2.669152822,2.90275075,-2.596059138,-21.03679588,-0.997516826,-6.515097808,-30.89299023,11,225,10,0,3,2,11,0,0,0,11,12,1,63,59,93,-10.18203128
1cny,8.636109235,-15.89879999,7.34924003,-2.264322869,-36.60196248,-0.231280098,6.604983336,-46.90312531,6,225,1,1,3,0,13,1,0,1,13,16,1,45,76,95,-10.84517579
1ct8,10.35448049,-57.80366676,0.608063649,-4.372709521,-33.75892492,-3.382702682,64.74691155,-56.57121669,11,275,0,3,1,7,22,1,2,2,43,13,0,0,129,132,-9.007712884
1d2e,6.10844399,36.71903637,3.648228043,-16.49720493,-7.799767911,-0.000718538,-41.34012307,-37.43199935,21,345,34,2,2,12,26,1,0,0,17,9,1,168,30,106,-8.289306335
1d4y,6.703472844,-10.56558188,1.548489067,-2.475958021,-61.31319987,-2.757788677,17.19692943,-75.70141153,8,345,0,18,2,5,30,0,0,0,31,13,0,0,96,209,-15.33521672
1d6v,4.360577883,22.14857915,3.536806676,-1.267082597,-47.28449854,-3.968440269,3.083466575,-49.46096737,4,236,0,9,2,2,0,1,2,0,63,8,0,0,176,55,-8.524170014
1d7i,0.476991493,-10.97523457,0.301896627,-0.242620366,-18.37297064,0,9.035821018,-18.32496851,3,63,0,0,0,1,6,0,0,0,8,2,0,13,15,32,-4.973583801
1dfo,12.95075896,-53.41376667,17.08843925,-11.37295369,-34.33330782,-1.493372037,51.75070867,-61.29625368,19,396,0,1,5,7,37,0,1,0,31,11,2,11,74,292,-9.256392074
1dhj,3.891206578,-40.43541707,-2.613659865,-12.52442149,-24.9451471,-0.618988517,33.12085923,-45.16580589,10,332,3,41,1,4,0,0,0,0,27,11,3,152,91,55,-9.049159416
1dif,24.61086505,-42.44073283,1.86210361,-3.773645003,-74.75318472,-4.463504529,61.56098896,-104.2518983,13,457,0,21,6,2,63,1,0,0,49,21,0,0,129,257,-14.72733425
1dl7,10.39240799,-30.52717362,6.457045269,-1.715424652,-25.88555265,-1.2231284,29.48735161,-38.60143366,5,155,0,0,0,2,16,4,1,0,35,7,1,0,44,100,-8.966266352
1dqn,3.479807962,-64.18039443,6.472507064,-11.7270182,-15.9337493,-4.55952136,55.1468669,-37.19897526,18,285,7,18,2,7,38,0,3,1,13,7,0,31,67,142,-11.05240845
1dqx,4.884140866,-108.6454006,3.342426907,-11.38177949,-14.89719243,-0.047617557,102.288733,-32.60659285,20,318,0,14,2,9,17,0,0,0,12,7,1,15,114,178,-15.26613917
1drj,13.06630483,-42.72693186,-0.672277412,-7.753286177,-16.43114342,0,18.50529541,-15.29838708,21,211,0,0,4,7,0,0,0,0,17,4,0,86,50,96,-10.22347781
1drk,12.97863926,-40.65367875,-0.346928849,-7.78989896,-16.11967464,0,17.15195612,-14.98425993,23,199,0,0,4,7,0,0,0,0,17,4,0,85,45,92,-9.422178201
1dud,3.103537682,-22.22332737,4.662658294,-11.43125741,-11.94753634,-0.000697685,21.17569436,-38.2394188,13,207,18,28,1,11,0,0,0,0,10,7,2,50,105,19,-6.659076089
1duv,5.529126214,-12.99788595,3.055019475,-14.61675394,-15.15535159,0,2.639249445,-36.83625981,27,400,15,0,7,12,36,0,0,0,11,10,4,169,51,156,-16.30230246
1dy4,3.918604814,-325.8957775,2.657275994,-2.521216281,-29.6959652,-12.15066214,383.1608617,-42.53593109,5,176,0,0,4,1,2,2,4,0,26,7,3,0,86,93,-6.023562603
1dzk,0.813453251,-2.330769972,0.119021763,-0.033797326,-29.95691825,-0.001051871,5.867383508,-30.9693442,0,88,0,8,0,0,0,0,0,0,13,3,0,0,71,9,-8.42746144
1e3v,3.452470469,51.83392198,2.060798984,-2.258863229,-65.65557808,0,-29.32825238,-45.59089382,4,139,2,0,1,2,0,0,0,0,22,6,0,67,69,5,-5.995931582
1e4h,0.472836373,1.139328415,0.599585989,0,-46.3184981,0,6.085677374,-33.80933708,0,119,0,0,0,0,0,0,0,0,7,1,0,0,119,0,-11.61884438
1e6q,7.051854182,-157.0176312,2.834968985,-3.517686547,-15.50657754,-0.906056426,113.4252218,-24.59990747,16,200,0,0,3,4,0,0,1,0,16,5,0,0,100,116,-4.351885826
1e6s,7.114109625,-42.19846067,3.553897757,-5.617455196,-15.3119001,0,45.61587304,-24.93480653,15,206,0,0,5,6,0,0,0,0,11,6,0,14,86,121,-4.4485944
1ec9,10.67560939,30.74739924,0.155737417,-11.58676622,-7.77646866,0,2.247223683,-28.09638112,16,295,0,8,3,7,19,0,0,0,7,8,6,17,119,148,-4.282808273
1ecq,7.370273518,113.8322936,1.48457453,-12.19807242,-10.75057196,0,-53.3077707,-20.83551941,18,252,0,8,2,7,12,0,0,0,7,8,6,18,107,125,-4.144653167
1ecv,3.465458556,-134.2529886,4.70711784,-10.24671382,-15.83664714,-0.83704244,125.8061315,-37.47373273,13,210,10,1,0,11,6,0,1,0,22,3,2,51,15,140,-6.700522621
1efy,0.874567545,-25.65763637,0.711643181,-1.277911309,-19.45818422,-5.793805165,26.55399949,-40.41016174,4,198,2,15,1,3,0,0,3,0,29,3,0,102,76,7,-11.35634968
1egh,3.626080786,-117.3837951,4.156926851,-12.90864707,-4.3709324,0,116.2426773,-6.83145737,16,181,9,8,0,11,12,0,0,0,3,3,5,89,51,28,-7.874841018
1eix,9.132676075,-52.93813251,1.34175275,-16.52767089,-18.7560053,0,54.70181675,-36.98260432,20,360,0,12,2,12,11,0,0,0,15,7,2,27,143,187,-15.27995468
1ejn,3.063131965,-225.8293668,2.405085738,-7.340589632,-42.15768321,-0.033100391,259.2539541,-48.12644785,9,295,0,49,5,3,73,0,0,0,19,4,1,0,65,117,-7.764316934
1elc,19.43692885,-75.94062828,11.34219314,-0.824876348,-43.17300319,-0.035730414,124.0976323,-54.13675071,5,209,0,8,0,0,32,0,0,0,28,14,1,0,49,125,-9.201130032
1eld,8.637326572,-26.04807576,0.877391767,-0.98275674,-29.9436256,-0.306849625,29.99676301,-48.43905587,7,267,0,39,3,1,21,0,0,0,21,9,0,0,98,116,-9.256392074
1ele,5.682093533,-28.86394965,2.256349175,-0.993722739,-30.7515113,-0.638304122,28.67183442,-49.14335405,9,294,0,49,3,1,19,0,0,0,15,8,0,0,113,122,-9.463624732
1elr,14.32381992,-239.0072733,1.119017159,-13.87801519,-21.98701422,0,221.9375391,-48.78116674,17,261,3,0,2,10,0,0,0,0,27,22,3,275,0,0,-6.852493237
1ent,14.47087961,65.98395725,2.96008812,-2.251569465,-60.6647829,-0.00337253,-19.98478,-82.438342,9,355,0,4,3,3,64,0,0,0,35,19,0,0,127,169,-9.615595348
1epo,12.09249697,-57.48187575,4.246775221,-4.365614857,-60.27222172,0,78.29983662,-77.20587853,17,333,0,2,6,2,58,0,0,0,31,17,0,11,118,161,-10.9971464
1erb,2.53402654,-4.648383087,1.717972364,-0.063734096,-96.0372576,0,24.41991919,-65.08210872,3,217,0,7,0,0,9,0,0,0,41,6,0,0,126,78,-11.19056355
1ez9,6.986944667,-58.97117054,6.480326089,-4.583701053,-49.36896207,0,47.48219475,-52.84026748,12,225,0,0,6,2,3,0,0,0,37,29,0,64,24,146,-7.045910385
1ezq,9.242242858,-235.9881709,2.286728634,-6.958885835,-46.07990648,-3.687256901,284.7888285,-55.87985607,9,310,0,5,4,0,89,1,2,0,55,12,0,0,26,199,-12.50303706
1f0r,3.483394657,-41.29681378,3.350624252,-2.66048859,-43.44900368,-2.572409443,87.80574465,-57.93188291,4,215,0,7,2,0,70,0,2,1,37,6,0,0,25,117,-10.58268109
1f0s,6.584958794,-47.5466211,5.181913451,-0.253264203,-40.84468995,-7.821536231,84.66425577,-54.88720976,2,200,0,50,1,0,19,0,2,2,37,5,0,0,83,50,-10.69320517
1f0t,12.82125422,-283.9697241,7.208377357,-8.251692484,-30.7002354,-7.851128888,285.793508,-41.35970974,13,254,0,13,5,2,83,0,2,0,28,8,0,0,27,144,-8.289306335
1f0u,10.17313101,-252.8678938,4.520754995,-7.521825532,-36.89068076,-1.819176668,283.1982708,-48.69329526,12,282,0,9,5,0,99,0,1,0,37,12,0,0,31,155,-9.89190556
1f3e,1.901949647,-32.66843752,2.424938959,-3.737204196,-17.26442501,-3.71156296,23.51335255,-31.79993078,17,237,0,12,3,1,16,0,2,0,35,2,0,74,101,51,-9.256392074
1f4x,9.856500393,-48.87458483,5.843393969,-2.683306322,-27.48077805,0,22.51381659,-28.10634044,13,182,0,20,3,3,18,0,0,0,15,9,0,0,106,51,-7.722870402
1f5l,4.2416836,-207.5561669,4.036625229,-8.000837298,-14.28468391,-7.12E-009,196.5355204,-28.57148221,11,249,0,55,4,0,55,0,0,0,12,3,1,0,103,47,-7.294589575
1f9g,0.692850916,-12.89340812,-0.071793251,-1.704404266,-12.06150048,0,10.54009634,-18.72766506,5,136,1,0,1,2,0,0,0,0,10,6,0,80,0,60,-1.768385351
1fao,3.728019355,-468.031553,2.970491266,-30.65184063,-6.697663784,0,469.7688042,-29.19642469,28,340,0,0,0,14,20,0,0,0,2,10,8,0,222,126,-10.18203128
1fcy,1.544194357,-30.52562842,0.356058575,-4.588754119,-77.04878419,-1.63804862,26.22589559,-71.97524769,8,302,20,6,0,3,5,0,0,1,48,3,1,222,26,31,-11.770815
1fdq,8.235828162,-35.12351034,4.158966861,-4.856084743,-71.09805047,0,41.14028779,-55.57745896,4,212,4,1,0,2,3,0,0,0,33,14,2,41,115,52,-10.04387618
1fhd,11.91586269,-25.3950491,-2.909000561,-5.430246257,-19.32699269,-3.68824823,33.35025217,-35.62858376,14,230,0,0,2,5,1,0,1,2,12,7,0,0,50,193,-9.422178201
1fiv,36.30117663,-73.49948031,6.838513429,-7.416912774,-82.16302652,-6.095684515,85.72764993,-108.1855464,15,502,0,43,7,5,53,2,0,0,53,23,0,0,162,259,-9.104421458
1fj4,1.824000727,-11.27732114,1.678833771,-0.49406381,-46.24105242,0,15.21571327,-42.60015772,2,153,1,8,0,2,19,0,0,0,28,3,0,6,26,95,-6.341319346
1fjs,10.38720149,-116.1264446,7.656222857,-7.240510191,-36.45328946,-0.936474194,112.2705688,-56.09146794,11,285,0,8,3,3,66,1,0,1,35,11,0,7,23,192,-13.76024852
1fkf,8.647695214,-18.31132445,-1.405261688,-1.325757655,-64.48274096,0,22.14592933,-74.87271668,9,286,0,1,2,2,22,0,0,0,41,10,0,12,91,169,-12.98657992
1fkg,9.892197721,-24.4780012,3.168891554,-0.548537543,-48.23057325,-0.601629081,18.28526573,-48.96510179,3,187,0,0,0,2,13,0,0,0,32,10,0,13,63,101,-11.05240845
