PDB,dsx,glide,rf_score,vina,HMScore,Experimental
1zoe,-51.271,-9.0500970281,-5.42,-5.83721,-8.703771652,-10.22347781
1zs0,-145.511,-8.8057206986,-7.64,-7.01327,-9.021528394,-8.496538993
1zvx,-154.772,-9.0037226354,-7.87,-6.76462,-9.477440243,-12.73790073
2aou,-117.26,-9.9057459544,-7.93,-9.6186,-10.63794313,-10.67938966
2aov,-76.13,-8.6820807079,-8.95,-10.23843,-9.836643517,-9.726119433
2ayr,-187.922,-10.6321632203,-13.13,-12.16862,-13.05565748,-12.83460931
2azr,-85.377,-6.988160229,-8.28,-6.50895,-8.275490824,-5.028845843
2b1v,-113.004,-11.5266165921,-10.07,-9.42003,-9.297838606,-7.93010306
2b7d,-150.261,-11.1792017646,-9.14,-8.64509,-10.52741905,-12.01949419
2baj,-153.538,-10.5595401072,-10.72,-11.53659,-11.68792193,-11.60502887
2bak,-231.71,-9.2913803465,-12.63,-12.63945,-12.79316278,-10.26492434
2bok,-154.347,-10.0585688086,-12.12,-8.39708,-8.745218183,-9.049159415
2brb,-116.305,-9.7124756703,-6.93,-8.14838,-9.380731669,-6.714338131
2brm,-114.892,-9.969179778,-9.09,-8.47326,-9.505071264,-8.137335719
2bz6,-147.941,-9.8892963616,-10.31,-8.0551,-8.993897373,-9.795196986
2bzz,-164.309,-8.9247647887,-10.32,-8.05224,-9.366916158,-8.883373289
2c02,-83.688,-7.6871140185,-7.89,-6.20367,-7.805763465,-5.581466265
2ceq,-75.358,-7.5972089264,-8.58,-6.47563,-8.040627145,-10.05769169
2cer,-117.309,-9.7953516662,-9.89,-8.71577,-9.284023095,-12.73790073
2cet,-108.949,-9.7667545335,-8.99,-8.04194,-9.325469627,-11.08003947
2cgr,-115.136,-9.3816340952,-7.71,-8.74892,-9.712303922,-10.05769169
2ctc,-68.804,-7.0706547231,-8.12,-4.75105,-7.515637744,-5.374233607
2d0k,-120.938,-9.1665082187,-8.04,-7.98202,-9.256392074,-6.9353863
2d1o,-184.226,-10.141945676,-11.68,-7.10857,-10.11295373,-10.63794313
2d3u,-109.121,-9.4880535482,-8.77,-8.67459,-9.947167602,-9.560333306
2d3z,-109.742,-9.292050696,-9.8,-8.80834,-9.726119433,-9.17349901
2drc,-130.468,-9.7038029774,-10.35,-8.65519,-9.587964327,-13.66353994
2er9,-268.834,-10.2179811356,-15.58,-8.92761,-13.51156933,-10.22347781
2f01,-107.128,-8.8590625264,-12.69,-6.77606,-8.386014909,-17.96016373
2f80,-192.152,-11.5584598358,-11.58,-9.24921,-11.48068927,-11.30108764
2fai,-121.45,-11.926407863,-9.76,-9.81689,-9.65704188,-8.620878588
2fdp,-234.626,-10.9701313455,-14.78,-11.22908,-12.94513339,-10.48597251
2flb,-109.325,-9.2980579115,-7.57,-7.83071,-8.537985525,-7.93010306
2fzc,-59.121,-7.7520840107,-4.56,-5.37196,-7.308405085,-3.730187851
2g5u,-36.173,-5.8811707919,-3.77,-3.53042,-8.537985525,-11.72936846
2g8r,-83.339,-7.0634978963,-4.32,-5.0748,-7.045910385,-5.512388713
2g94,-253.143,-9.9870106411,-14.95,-10.18772,-12.80697829,-13.15236605
2gss,-63.663,-7.1740436056,-5.47,-5.31473,-8.192597761,-6.824862216
2h3e,-96.135,-7.1711438253,-7.96,-7.49628,-8.040627145,-7.874841018
2hdq,-43.941,-6.3041965669,-7.41,-4.40153,-6.92157079,-1.934171478
2i0d,-208.588,-13.6185778232,-12.25,-8.79553,-11.37016519,-16.71676778
2j77,-73.29,-7.3784579447,-7.33,-6.20214,-7.66760836,-6.755784663
2j78,-77.42,-7.1140230798,-6.66,-6.4858,-7.626161828,-8.869557778
2qwb,-67.278,-6.937654171,-6.96,-6.10585,-7.322220596,-3.785449893
2qwd,-78.389,-6.6503001177,-6.85,-6.45173,-7.515637744,-6.700522621
2qwe,-76.899,-8.4532097054,-6.69,-7.16546,-8.068258166,-10.3340019
2rkm,-108.449,-10.1160645355,-5.42,-6.03311,-7.626161828,-5.388049118
2std,-100.408,-9.4886833053,-7.92,-9.82733,-10.23729332,-13.6082779
2usn,-108.785,-9.8036078684,-6.8,-6.732,-9.463624732,-8.993897373
3gss,-134.005,-9.0053051654,-9.44,-6.67242,-9.712303922,-8.040627145
3pce,-57.868,-5.9709600149,-5.69,-5.03956,-7.142618958,-2.763102112
3pch,-54.646,-6.7665503899,-8.96,-5.43423,-8.192597761,-7.460375701
3pcj,-46.519,-7.6862140127,-6.96,-5.48746,-7.280774064,-9.974798623
3std,-137.294,-9.8356118579,-11.92,-12.68896,-12.4339595,-15.34903223
4er2,-196.624,-10.4207039236,-12.36,-7.56183,-12.0333097,-12.84842482
4tim,-52.847,-5.7570550586,-8.05,-3.88129,-7.225512022,-2.984150281
4tln,-57.341,-7.3824597955,-3.76,-5.02869,-7.142618958,-5.139369928
4tmn,-159.642,-8.392798795,-6.12,-8.67913,-10.96951538,-14.05037424
5er1,-165.328,-9.7819413542,-9.49,-6.73207,-10.23729332,-8.316937356
6rnt,-82.818,-7.3148012718,-7.01,-6.0455,-7.557084275,-3.274276002
6std,-108.715,-9.4343031531,-8.6,-9.96861,-10.22347781,-11.93660112
7cpa,-162.787,-9.5937994726,-6.58,-7.71343,-11.9089701,-19.28645274
8cpa,-133.43,-8.6960654913,-3.8,-6.65992,-10.45834149,-12.64119216
