ID,Lig_Strain_Energy,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,2.5_contacts,4.0_contacts,H_B_ligand,H_B_receptor,backbone_alpha,backbone_beta,backbone_other,hydrophobic,pi-cation,pi-pi,pi-t,rotable_bonds,salt_bridge,sidechain_alpha,sidechain_beta,sidechain_other
3f3e,1.757384748,-13.18018766,1.23849731,-1.495137561,-23.9756047,0,35.32014906,-23.30193079,16,294,12,4,2,21.29,0,5.81,0,0,0,4,0,65.16,0,7.74
3f80,1.657617862,4.936896553,0.069035645,-2.253536952,-12.53094227,0,33.86593344,-25.86297133,12,228,11,1,3,0,0,8.33,0,0,0,7,2,5,0.42,86.25
3fv1,4.705770072,-45.31054083,1.56880987,-7.548870828,-38.49029859,0,15.02009458,-34.79051479,34,524,26,5,9,2.87,5.2,1.61,0,0,0,7,4,19.89,45.34,25.09
3g0w,4.151538922,-24.31317086,1.058937532,-0.975472368,-65.74276007,-0.467468639,19.75354099,-55.75195646,24,412,19,1,1,7.11,0,0.23,0,0,1,3,0,83.49,0,9.17
3g2z,1.328409064,-23.32087297,1.572074502,-0.869212101,-8.08291862,-0.679687858,15.06323754,-25.22783772,9,155,10,1,1,0,10.37,1.22,0,0,0,1,0,13.41,26.83,48.17
3gcs,3.364698258,-17.07243767,0.284018481,-2.341902805,-49.49052286,-0.316358165,20.73124718,-64.57836368,12,533,47,3,1,0,4.04,4.77,1,0,0,6,0,24.95,45.32,20.92
3ge7,3.607016514,-31.68542617,3.635198444,-8.430225174,-41.72249834,-6.423931515,32.46424675,-59.59861962,24,509,37,5,1,0,3.94,6.19,0,2,0,7,2,24.2,47.65,18.01
3gy4,3.944873226,-208.4752325,3.309939908,-8.102958077,-12.20929937,-0.707228108,198.3946611,-20.66774351,15,253,17,5,1,0,5.22,33.21,0,0,0,3,0,0,14.18,47.39
3i3b,3.909565988,-16.24522471,-0.498393301,-1.547846312,-15.4263786,0,65.01891205,-26.6850522,12,256,12,1,1,0,0,0.37,0,0,0,5,0,0,26.49,73.13
3imc,0.8576174,-7.380179928,0.605038887,-0.437731563,-19.3610688,-0.775211273,4.805913503,-29.27068193,17,278,21,0,1,4.75,3.05,13.22,1,0,1,1,0,23.05,11.86,44.07
3jvs,7.385524618,-14.53854573,1.506125839,-0.521002039,-30.70621831,-0.150815958,7.466937026,-41.31997816,12,388,32,2,0,0.25,0,26,0,0,0,5,0,5.5,0,68.25
3myg,4.929039936,-24.24795273,1.750790982,-2.880071433,-40.01484486,-0.000488901,25.29859442,-54.9462566,11,461,28,2,2,0,5.51,9.53,0,0,0,9,0,4.03,59.75,21.19
3nox,3.747649157,-112.8640656,2.858906888,-2.292615076,-37.04570497,-2.651960282,111.1377269,-40.9610622,13,293,14,3,0,2.29,0.65,0,2,1,1,4,3,37.91,18.3,40.85
3nw9,14.03364738,-47.16071249,3.013362057,-4.813273677,-50.90219308,-2.766997016,65.10244058,-75.46549156,23,634,39,3,4,0,1.52,12.02,0,0,4,10,0,7.91,11.87,66.67
3su3,11.87552021,-12.5022052,0.979716782,-1.400072861,-56.1723343,-2.011679597,6.777767425,-74.24240133,19,622,33,2,3,0,6.86,11.08,0,0,0,7,0,0,39.78,42.28
3u9q,3.515783697,-0.285653601,3.029404323,-3.323307772,-43.01222139,0,2.101689842,-35.17122391,20,355,21,0,4,6.67,0,3.2,0,0,0,8,2,70.13,0,20
3udh,2.078030356,-107.9359659,1.949565427,-2.312043211,-20.59792198,-0.853455074,95.62831434,-24.82934337,10,226,20,3,0,0,0.42,13.56,1,1,0,0,2,0,58.9,27.12
3uex,2.364997699,78.49472234,1.880223442,-4.523927664,-81.07073834,0,-60.44049763,-46.29147229,28,545,35,0,1,0,0,1.4,0,0,0,16,2,0,90.05,8.55
3zsx,8.696020387,-46.38015005,0.972972346,-3.959974433,-30.01924435,-0.65118855,43.66477328,-42.81556938,23,358,25,1,4,6.04,0,13.65,0,0,0,10,1,58.27,0,22.05
